from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icb,iccv,2006,1990,1,5
icb,iccv,2006,1999,1,21
icb,iccv,2006,2001,4,39
icb,iccv,2006,2003,1,43
icb,iccv,2007,1995,1,15
icb,iccv,2007,1999,2,21
icb,iccv,2007,2003,3,68
icb,iccv,2007,2005,3,93
icb,iccv,2009,1987,1,4
icb,iccv,2009,1995,2,11
icb,iccv,2009,1998,1,27
icb,iccv,2009,1999,3,27
icb,iccv,2009,2001,1,37
icb,iccv,2009,2003,2,65
icb,iccv,2009,2005,5,115
icb,iccv,2009,2007,4,171
icb,iccv,2011,2010,1,8
icb,iccv,2012,2001,1,14
icb,iccv,2012,2003,1,20
icb,iccv,2012,2005,1,24
icb,iccv,2012,2007,2,51
icb,iccv,2012,2009,4,60
icb,iccv,2012,2011,2,30
icb,iccv,2013,1999,2,12
icb,iccv,2013,2005,1,29
icb,iccv,2013,2007,4,55
icb,iccv,2013,2009,1,47
icb,iccv,2013,2011,3,56
icb,iccv,2013,2012,3,100
icb,iccv,2015,1999,1,8
icb,iccv,2015,2001,1,13
icb,iccv,2015,2005,2,42
icb,iccv,2015,2009,5,68
icb,iccv,2015,2011,8,61
icb,iccv,2015,2013,5,86
