from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icb,icpr,2006,1996,2,12
icb,icpr,2006,1998,2,19
icb,icpr,2006,2000,5,31
icb,icpr,2006,2002,9,54
icb,icpr,2006,2004,11,68
icb,icpr,2007,1994,2,15
icb,icpr,2007,1996,4,23
icb,icpr,2007,1998,2,28
icb,icpr,2007,2000,7,34
icb,icpr,2007,2002,11,64
icb,icpr,2007,2004,12,94
icb,icpr,2007,2005,2,93
icb,icpr,2007,2006,17,111
icb,icpr,2008,2000,1,1
icb,icpr,2009,1998,1,27
icb,icpr,2009,2000,4,31
icb,icpr,2009,2002,8,61
icb,icpr,2009,2004,14,99
icb,icpr,2009,2005,1,115
icb,icpr,2009,2006,21,149
icb,icpr,2009,2008,5,112
icb,icpr,2011,1996,1,6
icb,icpr,2011,2004,2,16
icb,icpr,2012,2002,2,19
icb,icpr,2012,2004,1,23
icb,icpr,2012,2006,1,32
icb,icpr,2012,2008,4,35
icb,icpr,2012,2010,7,63
icb,icpr,2013,1988,1,2
icb,icpr,2013,1996,1,8
icb,icpr,2013,2000,2,11
icb,icpr,2013,2002,2,17
icb,icpr,2013,2004,3,31
icb,icpr,2013,2006,3,38
icb,icpr,2013,2008,4,46
icb,icpr,2013,2010,7,75
icb,icpr,2013,2012,4,100
icb,icpr,2014,2008,1,3
icb,icpr,2014,2012,1,3
icb,icpr,2015,1996,1,3
icb,icpr,2015,2000,1,11
icb,icpr,2015,2002,3,23
icb,icpr,2015,2004,5,29
icb,icpr,2015,2006,2,45
icb,icpr,2015,2008,5,54
icb,icpr,2015,2010,5,70
icb,icpr,2015,2012,4,87
icb,icpr,2015,2014,1,73
