from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iccbr,aaai,1995,1982,1,3
iccbr,aaai,1995,1986,2,8
iccbr,aaai,1995,1988,3,8
iccbr,aaai,1995,1990,3,22
iccbr,aaai,1995,1991,4,28
iccbr,aaai,1995,1992,3,19
iccbr,aaai,1995,1993,2,33
iccbr,aaai,1995,1994,6,30
iccbr,aaai,1997,1986,1,5
iccbr,aaai,1997,1987,2,8
iccbr,aaai,1997,1988,3,9
iccbr,aaai,1997,1990,3,16
iccbr,aaai,1997,1991,3,15
iccbr,aaai,1997,1993,4,24
iccbr,aaai,1997,1994,5,34
iccbr,aaai,1997,1996,6,38
iccbr,aaai,1999,1986,1,3
iccbr,aaai,1999,1990,1,11
iccbr,aaai,1999,1991,4,11
iccbr,aaai,1999,1992,1,10
iccbr,aaai,1999,1993,1,14
iccbr,aaai,1999,1994,4,15
iccbr,aaai,1999,1996,2,20
iccbr,aaai,1999,1997,3,41
iccbr,aaai,1999,1998,1,18
iccbr,aaai,2001,1988,1,6
iccbr,aaai,2001,1990,2,6
iccbr,aaai,2001,1991,2,9
iccbr,aaai,2001,1992,1,14
iccbr,aaai,2001,1994,2,15
iccbr,aaai,2001,1996,5,29
iccbr,aaai,2001,1997,3,40
iccbr,aaai,2001,1998,3,24
iccbr,aaai,2001,1999,1,41
iccbr,aaai,2001,2000,4,24
iccbr,aaai,2003,1988,1,4
iccbr,aaai,2003,1992,1,17
iccbr,aaai,2003,1994,1,13
iccbr,aaai,2003,1996,3,18
iccbr,aaai,2003,1997,2,32
iccbr,aaai,2003,1998,3,32
iccbr,aaai,2003,2000,1,20
iccbr,aaai,2005,1991,3,9
iccbr,aaai,2005,1993,1,8
iccbr,aaai,2005,1994,2,12
iccbr,aaai,2005,1996,1,12
iccbr,aaai,2005,1997,2,25
iccbr,aaai,2005,1999,3,29
iccbr,aaai,2005,2002,1,29
iccbr,aaai,2005,2004,1,43
iccbr,aaai,2007,1988,1,2
iccbr,aaai,2007,1996,2,16
iccbr,aaai,2007,1997,1,17
iccbr,aaai,2007,1999,1,26
iccbr,aaai,2007,2002,1,18
iccbr,aaai,2007,2005,1,39
iccbr,aaai,2007,2006,2,25
iccbr,aaai,2009,1983,1,3
iccbr,aaai,2009,1986,1,2
iccbr,aaai,2009,1990,1,3
iccbr,aaai,2009,1992,1,12
iccbr,aaai,2009,1996,4,9
iccbr,aaai,2009,2002,1,10
iccbr,aaai,2009,2005,3,44
iccbr,aaai,2009,2006,2,29
iccbr,aaai,2009,2007,4,42
iccbr,aaai,2009,2008,4,30
iccbr,aaai,2010,1992,1,6
iccbr,aaai,2010,1994,1,10
iccbr,aaai,2010,1997,1,17
iccbr,aaai,2010,1999,1,18
iccbr,aaai,2010,2004,2,27
iccbr,aaai,2010,2005,1,33
iccbr,aaai,2010,2006,3,20
iccbr,aaai,2011,1988,1,5
iccbr,aaai,2011,2005,1,15
iccbr,aaai,2011,2006,1,20
iccbr,aaai,2011,2010,1,37
iccbr,aaai,2012,1991,1,3
iccbr,aaai,2012,2002,1,5
iccbr,aaai,2012,2008,2,16
iccbr,aaai,2012,2010,1,22
iccbr,aaai,2012,2011,1,27
iccbr,aaai,2013,1990,1,5
iccbr,aaai,2013,1997,1,6
iccbr,aaai,2013,2002,1,8
iccbr,aaai,2013,2004,2,11
iccbr,aaai,2013,2005,1,22
iccbr,aaai,2013,2008,1,10
iccbr,aaai,2013,2010,4,20
iccbr,aaai,2013,2012,2,20
iccbr,aaai,2014,1986,1,2
iccbr,aaai,2014,1991,1,6
iccbr,aaai,2014,1993,1,6
iccbr,aaai,2014,1996,1,5
iccbr,aaai,2014,1999,1,17
iccbr,aaai,2014,2002,1,14
iccbr,aaai,2014,2004,1,16
iccbr,aaai,2014,2005,1,26
iccbr,aaai,2014,2006,4,22
iccbr,aaai,2014,2007,1,20
iccbr,aaai,2014,2010,1,30
