from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iccbr,aamas,2001,1997,1,40
iccbr,aamas,2001,1998,1,24
iccbr,aamas,2001,1999,1,41
iccbr,aamas,2001,2000,2,24
iccbr,aamas,2005,2000,1,25
iccbr,aamas,2007,1998,1,20
iccbr,aamas,2009,2007,1,42
iccbr,aamas,2010,2007,1,45
iccbr,aamas,2011,2005,1,15
iccbr,aamas,2011,2007,2,27
iccbr,aamas,2011,2008,1,17
iccbr,aamas,2011,2009,1,36
iccbr,aamas,2012,2005,1,25
iccbr,aamas,2013,2006,1,8
iccbr,aamas,2013,2012,1,20
