from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iccbr,ecai,1995,1992,1,19
iccbr,ecai,1995,1994,2,30
iccbr,ecai,1997,1990,1,16
iccbr,ecai,1997,1996,3,38
iccbr,ecai,1999,1992,1,10
iccbr,ecai,1999,1994,1,15
iccbr,ecai,1999,1996,3,20
iccbr,ecai,1999,1998,2,18
iccbr,ecai,2001,1992,3,14
iccbr,ecai,2001,1996,1,29
iccbr,ecai,2001,1997,1,40
iccbr,ecai,2003,1992,2,17
iccbr,ecai,2003,1996,1,18
iccbr,ecai,2003,1998,2,32
iccbr,ecai,2003,2002,2,28
iccbr,ecai,2005,1997,1,25
iccbr,ecai,2005,1998,1,19
iccbr,ecai,2005,2002,2,29
iccbr,ecai,2005,2004,2,43
iccbr,ecai,2007,1990,1,6
iccbr,ecai,2007,1996,1,16
iccbr,ecai,2007,2000,2,21
iccbr,ecai,2007,2002,2,18
iccbr,ecai,2007,2006,2,25
iccbr,ecai,2009,1992,1,12
iccbr,ecai,2009,2000,1,16
iccbr,ecai,2009,2004,1,14
iccbr,ecai,2010,1998,1,20
iccbr,ecai,2010,2000,2,16
iccbr,ecai,2010,2002,1,14
iccbr,ecai,2010,2004,1,27
iccbr,ecai,2010,2008,1,29
iccbr,ecai,2011,1982,1,2
iccbr,ecai,2011,1997,1,13
iccbr,ecai,2011,2008,1,17
iccbr,ecai,2012,1998,1,8
iccbr,ecai,2012,2006,1,16
iccbr,ecai,2013,1998,1,9
iccbr,ecai,2013,2000,2,6
iccbr,ecai,2013,2004,1,11
iccbr,ecai,2014,1992,1,7
