from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iccbr,iccbr,1997,1995,21,51
iccbr,iccbr,1999,1995,9,33
iccbr,iccbr,1999,1997,14,41
iccbr,iccbr,1999,1998,2,18
iccbr,iccbr,2001,1995,10,45
iccbr,iccbr,2001,1997,13,40
iccbr,iccbr,2001,1998,1,24
iccbr,iccbr,2001,1999,14,41
iccbr,iccbr,2003,1995,7,33
iccbr,iccbr,2003,1997,9,32
iccbr,iccbr,2003,1998,3,32
iccbr,iccbr,2003,1999,7,30
iccbr,iccbr,2003,2001,11,48
iccbr,iccbr,2005,1995,5,24
iccbr,iccbr,2005,1997,3,25
iccbr,iccbr,2005,1998,4,19
iccbr,iccbr,2005,1999,10,29
iccbr,iccbr,2005,2001,16,52
iccbr,iccbr,2005,2003,13,41
iccbr,iccbr,2007,1995,5,13
iccbr,iccbr,2007,1997,3,17
iccbr,iccbr,2007,1998,2,20
iccbr,iccbr,2007,1999,9,26
iccbr,iccbr,2007,2001,6,23
iccbr,iccbr,2007,2003,6,29
iccbr,iccbr,2007,2005,11,39
iccbr,iccbr,2008,2001,1,4
iccbr,iccbr,2009,1995,5,12
iccbr,iccbr,2009,1997,2,14
iccbr,iccbr,2009,1999,4,13
iccbr,iccbr,2009,2001,9,26
iccbr,iccbr,2009,2003,10,25
iccbr,iccbr,2009,2005,10,44
iccbr,iccbr,2009,2007,13,42
iccbr,iccbr,2010,1995,2,15
iccbr,iccbr,2010,1997,5,17
iccbr,iccbr,2010,1998,2,20
iccbr,iccbr,2010,1999,5,18
iccbr,iccbr,2010,2001,9,29
iccbr,iccbr,2010,2003,9,29
iccbr,iccbr,2010,2005,8,33
iccbr,iccbr,2010,2007,10,45
iccbr,iccbr,2010,2009,11,43
iccbr,iccbr,2011,1995,2,12
iccbr,iccbr,2011,1997,1,13
iccbr,iccbr,2011,1998,1,12
iccbr,iccbr,2011,1999,6,13
iccbr,iccbr,2011,2001,6,18
iccbr,iccbr,2011,2003,2,12
iccbr,iccbr,2011,2007,5,27
iccbr,iccbr,2011,2009,9,36
iccbr,iccbr,2011,2010,9,37
iccbr,iccbr,2012,1995,2,7
iccbr,iccbr,2012,1997,4,12
iccbr,iccbr,2012,1998,1,8
iccbr,iccbr,2012,1999,2,10
iccbr,iccbr,2012,2001,5,13
iccbr,iccbr,2012,2003,5,16
iccbr,iccbr,2012,2005,6,25
iccbr,iccbr,2012,2007,4,28
iccbr,iccbr,2012,2009,7,27
iccbr,iccbr,2012,2010,8,22
iccbr,iccbr,2012,2011,6,27
iccbr,iccbr,2013,1995,2,8
iccbr,iccbr,2013,1997,1,6
iccbr,iccbr,2013,1999,1,10
iccbr,iccbr,2013,2001,6,17
iccbr,iccbr,2013,2003,1,8
iccbr,iccbr,2013,2005,5,22
iccbr,iccbr,2013,2007,5,24
iccbr,iccbr,2013,2009,6,23
iccbr,iccbr,2013,2010,6,20
iccbr,iccbr,2013,2011,8,22
iccbr,iccbr,2013,2012,7,20
iccbr,iccbr,2014,1995,2,11
iccbr,iccbr,2014,1997,3,15
iccbr,iccbr,2014,1999,4,17
iccbr,iccbr,2014,2001,6,24
iccbr,iccbr,2014,2003,5,22
iccbr,iccbr,2014,2005,4,26
iccbr,iccbr,2014,2007,7,20
iccbr,iccbr,2014,2009,9,40
iccbr,iccbr,2014,2010,7,30
iccbr,iccbr,2014,2011,10,30
iccbr,iccbr,2014,2012,8,28
iccbr,iccbr,2014,2013,8,31
