from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iccbr,icml,1995,1987,2,8
iccbr,icml,1995,1988,2,8
iccbr,icml,1995,1990,1,22
iccbr,icml,1995,1991,1,28
iccbr,icml,1995,1992,3,19
iccbr,icml,1995,1993,2,33
iccbr,icml,1995,1994,1,30
iccbr,icml,1997,1989,1,6
iccbr,icml,1997,1990,1,16
iccbr,icml,1997,1991,1,15
iccbr,icml,1997,1992,3,20
iccbr,icml,1997,1993,1,24
iccbr,icml,1997,1994,2,34
iccbr,icml,1997,1995,3,51
iccbr,icml,1997,1996,1,38
iccbr,icml,1999,1987,1,2
iccbr,icml,1999,1992,2,10
iccbr,icml,1999,1993,1,14
iccbr,icml,1999,1997,1,41
iccbr,icml,1999,1998,1,18
iccbr,icml,2001,1988,1,6
iccbr,icml,2001,1993,1,14
iccbr,icml,2001,1995,2,45
iccbr,icml,2001,1996,1,29
iccbr,icml,2001,1998,1,24
iccbr,icml,2003,1987,1,4
iccbr,icml,2003,1988,1,4
iccbr,icml,2003,1992,1,17
iccbr,icml,2003,1994,2,13
iccbr,icml,2003,1995,1,33
iccbr,icml,2003,1998,4,32
iccbr,icml,2003,2000,1,20
iccbr,icml,2005,1988,1,4
iccbr,icml,2005,1991,1,9
iccbr,icml,2005,1992,3,10
iccbr,icml,2005,1994,1,12
iccbr,icml,2005,1995,2,24
iccbr,icml,2005,1996,1,12
iccbr,icml,2005,1997,1,25
iccbr,icml,2005,2000,1,25
iccbr,icml,2005,2001,1,52
iccbr,icml,2007,1992,1,5
iccbr,icml,2007,1995,2,13
iccbr,icml,2007,1996,1,16
iccbr,icml,2007,1997,1,17
iccbr,icml,2007,2000,2,21
iccbr,icml,2007,2003,2,29
iccbr,icml,2009,1991,1,9
iccbr,icml,2009,1992,1,12
iccbr,icml,2009,1994,1,6
iccbr,icml,2009,1996,3,9
iccbr,icml,2009,1997,2,14
iccbr,icml,2009,2002,1,10
iccbr,icml,2009,2006,2,29
iccbr,icml,2009,2008,1,30
iccbr,icml,2010,1988,1,2
iccbr,icml,2010,1992,1,6
iccbr,icml,2010,1998,1,20
iccbr,icml,2010,2001,1,29
iccbr,icml,2010,2003,1,29
iccbr,icml,2010,2004,1,27
iccbr,icml,2011,1996,1,5
iccbr,icml,2011,1997,1,13
iccbr,icml,2011,1998,1,12
iccbr,icml,2011,2000,1,14
iccbr,icml,2012,2003,1,16
iccbr,icml,2013,1996,1,3
iccbr,icml,2013,1998,1,9
iccbr,icml,2013,2002,1,8
iccbr,icml,2014,1995,1,11
iccbr,icml,2014,1996,1,5
iccbr,icml,2014,1997,2,15
iccbr,icml,2014,2000,1,12
iccbr,icml,2014,2006,1,22
iccbr,icml,2014,2008,1,14
