from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iccbr,nips,1997,1995,1,51
iccbr,nips,2001,1995,1,45
iccbr,nips,2001,1996,1,29
iccbr,nips,2001,1998,1,24
iccbr,nips,2003,1995,1,33
iccbr,nips,2005,1998,1,19
iccbr,nips,2005,1999,1,29
iccbr,nips,2005,2002,1,29
iccbr,nips,2007,1998,1,20
iccbr,nips,2007,1999,1,26
iccbr,nips,2009,1999,1,13
iccbr,nips,2009,2005,1,44
iccbr,nips,2009,2007,1,42
iccbr,nips,2010,1995,1,15
iccbr,nips,2010,1999,1,18
iccbr,nips,2010,2007,3,45
iccbr,nips,2012,1999,1,10
iccbr,nips,2012,2007,1,28
iccbr,nips,2013,1999,1,10
iccbr,nips,2014,1989,1,2
iccbr,nips,2014,1999,1,17
iccbr,nips,2014,2008,1,14
