from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iccv,accv,1999,1995,2,61
iccv,accv,1999,1998,1,125
iccv,accv,2001,1998,1,182
iccv,accv,2001,1999,1,177
iccv,accv,2001,2000,1,173
iccv,accv,2003,1995,1,77
iccv,accv,2003,1998,4,148
iccv,accv,2003,1999,1,175
iccv,accv,2003,2000,2,190
iccv,accv,2003,2002,4,214
iccv,accv,2005,1995,1,77
iccv,accv,2005,2000,1,176
iccv,accv,2005,2002,2,242
iccv,accv,2005,2004,5,445
iccv,accv,2007,1995,1,97
iccv,accv,2007,1998,1,205
iccv,accv,2007,2002,2,278
iccv,accv,2007,2004,1,418
iccv,accv,2007,2006,5,583
iccv,accv,2008,2006,1,40
iccv,accv,2008,2007,1,29
iccv,accv,2009,1995,1,75
iccv,accv,2009,2004,2,338
iccv,accv,2009,2006,5,491
iccv,accv,2009,2007,6,654
iccv,accv,2010,2000,1,35
iccv,accv,2010,2004,2,88
iccv,accv,2010,2006,3,124
iccv,accv,2010,2007,4,103
iccv,accv,2010,2009,3,104
iccv,accv,2011,2000,1,85
iccv,accv,2011,2004,1,230
iccv,accv,2011,2006,6,306
iccv,accv,2011,2007,6,406
iccv,accv,2011,2009,5,547
iccv,accv,2011,2010,13,620
iccv,accv,2012,2000,1,58
iccv,accv,2012,2006,1,175
iccv,accv,2012,2007,4,207
iccv,accv,2012,2009,3,254
iccv,accv,2012,2010,9,332
iccv,accv,2013,2004,3,240
iccv,accv,2013,2006,4,303
iccv,accv,2013,2007,6,379
iccv,accv,2013,2009,4,560
iccv,accv,2013,2010,18,662
iccv,accv,2013,2012,31,919
