from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iccv,bmvc,1993,1992,1,37
iccv,bmvc,1995,1991,2,72
iccv,bmvc,1995,1992,4,114
iccv,bmvc,1995,1993,1,100
iccv,bmvc,1995,1994,3,151
iccv,bmvc,1998,1994,1,18
iccv,bmvc,1998,1995,1,38
iccv,bmvc,1998,1996,1,52
iccv,bmvc,1999,1992,2,42
iccv,bmvc,1999,1993,1,37
iccv,bmvc,1999,1996,1,75
iccv,bmvc,2001,1991,1,27
iccv,bmvc,2001,1992,2,43
iccv,bmvc,2001,1994,3,62
iccv,bmvc,2001,1995,1,83
iccv,bmvc,2001,1997,3,111
iccv,bmvc,2001,1998,4,182
iccv,bmvc,2001,1999,2,177
iccv,bmvc,2001,2000,5,173
iccv,bmvc,2003,1991,1,32
iccv,bmvc,2003,1992,2,59
iccv,bmvc,2003,1994,3,67
iccv,bmvc,2003,1995,3,77
iccv,bmvc,2003,1996,1,106
iccv,bmvc,2003,1997,2,126
iccv,bmvc,2003,1998,3,148
iccv,bmvc,2003,1999,2,175
iccv,bmvc,2003,2000,3,190
iccv,bmvc,2003,2001,1,236
iccv,bmvc,2003,2002,2,214
iccv,bmvc,2005,1990,2,20
iccv,bmvc,2005,1992,1,46
iccv,bmvc,2005,1994,1,60
iccv,bmvc,2005,1995,1,77
iccv,bmvc,2005,1996,2,92
iccv,bmvc,2005,1997,2,121
iccv,bmvc,2005,1998,1,154
iccv,bmvc,2005,1999,3,167
iccv,bmvc,2005,2000,2,176
iccv,bmvc,2005,2001,3,229
iccv,bmvc,2005,2002,6,242
iccv,bmvc,2005,2003,5,379
iccv,bmvc,2005,2004,10,445
iccv,bmvc,2007,1992,2,75
iccv,bmvc,2007,1994,1,77
iccv,bmvc,2007,1995,2,97
iccv,bmvc,2007,1997,2,122
iccv,bmvc,2007,1998,1,205
iccv,bmvc,2007,1999,4,209
iccv,bmvc,2007,2000,5,219
iccv,bmvc,2007,2001,2,249
iccv,bmvc,2007,2002,4,278
iccv,bmvc,2007,2003,7,413
iccv,bmvc,2007,2004,5,418
iccv,bmvc,2007,2005,8,603
iccv,bmvc,2007,2006,20,583
iccv,bmvc,2008,1998,1,17
iccv,bmvc,2008,2001,1,28
iccv,bmvc,2008,2005,1,37
iccv,bmvc,2008,2007,1,29
iccv,bmvc,2009,1992,1,47
iccv,bmvc,2009,1993,1,44
iccv,bmvc,2009,1995,1,75
iccv,bmvc,2009,1997,2,111
iccv,bmvc,2009,1998,2,147
iccv,bmvc,2009,1999,1,136
iccv,bmvc,2009,2000,4,181
iccv,bmvc,2009,2001,2,207
iccv,bmvc,2009,2002,3,212
iccv,bmvc,2009,2003,3,330
iccv,bmvc,2009,2004,5,338
iccv,bmvc,2009,2005,10,436
iccv,bmvc,2009,2006,13,491
iccv,bmvc,2009,2007,5,654
iccv,bmvc,2009,2008,18,688
iccv,bmvc,2010,1995,1,22
iccv,bmvc,2010,2004,1,88
iccv,bmvc,2010,2006,2,124
iccv,bmvc,2010,2008,3,123
iccv,bmvc,2010,2009,3,104
iccv,bmvc,2011,1990,1,18
iccv,bmvc,2011,1995,1,38
iccv,bmvc,2011,1998,2,80
iccv,bmvc,2011,1999,1,78
iccv,bmvc,2011,2002,4,104
iccv,bmvc,2011,2003,1,188
iccv,bmvc,2011,2004,5,230
iccv,bmvc,2011,2005,2,244
iccv,bmvc,2011,2006,6,306
iccv,bmvc,2011,2007,3,406
iccv,bmvc,2011,2008,12,468
iccv,bmvc,2011,2009,19,547
iccv,bmvc,2011,2010,15,620
iccv,bmvc,2012,1990,1,21
iccv,bmvc,2012,2003,2,100
iccv,bmvc,2012,2004,4,126
iccv,bmvc,2012,2006,4,175
iccv,bmvc,2012,2007,1,207
iccv,bmvc,2012,2008,2,226
iccv,bmvc,2012,2009,8,254
iccv,bmvc,2012,2010,5,332
iccv,bmvc,2012,2011,8,285
iccv,bmvc,2013,1990,1,23
iccv,bmvc,2013,1992,2,29
iccv,bmvc,2013,1997,1,43
iccv,bmvc,2013,1999,1,77
iccv,bmvc,2013,2001,2,127
iccv,bmvc,2013,2002,2,114
iccv,bmvc,2013,2003,1,170
iccv,bmvc,2013,2004,2,240
iccv,bmvc,2013,2005,1,250
iccv,bmvc,2013,2006,8,303
iccv,bmvc,2013,2007,3,379
iccv,bmvc,2013,2008,12,460
iccv,bmvc,2013,2009,20,560
iccv,bmvc,2013,2010,12,662
iccv,bmvc,2013,2011,21,779
iccv,bmvc,2013,2012,31,919
iccv,bmvc,2015,2006,1,4
iccv,bmvc,2015,2014,2,32
