from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iccv,eccv,1993,1990,1,32
iccv,eccv,1993,1992,10,37
iccv,eccv,1995,1990,5,52
iccv,eccv,1995,1992,17,114
iccv,eccv,1995,1994,36,151
iccv,eccv,1998,1992,6,13
iccv,eccv,1998,1994,3,18
iccv,eccv,1998,1996,6,52
iccv,eccv,1999,1990,2,25
iccv,eccv,1999,1992,6,42
iccv,eccv,1999,1994,9,56
iccv,eccv,1999,1996,14,75
iccv,eccv,1999,1998,17,125
iccv,eccv,2001,1992,7,43
iccv,eccv,2001,1994,10,62
iccv,eccv,2001,1996,21,93
iccv,eccv,2001,1998,18,182
iccv,eccv,2001,2000,30,173
iccv,eccv,2003,1990,3,28
iccv,eccv,2003,1992,4,59
iccv,eccv,2003,1994,10,67
iccv,eccv,2003,1996,12,106
iccv,eccv,2003,1998,18,148
iccv,eccv,2003,1999,1,175
iccv,eccv,2003,2000,20,190
iccv,eccv,2003,2002,70,214
iccv,eccv,2005,1992,6,46
iccv,eccv,2005,1994,6,60
iccv,eccv,2005,1996,10,92
iccv,eccv,2005,1998,11,154
iccv,eccv,2005,2000,10,176
iccv,eccv,2005,2002,51,242
iccv,eccv,2005,2003,1,379
iccv,eccv,2005,2004,54,445
iccv,eccv,2006,1996,1,2
iccv,eccv,2006,1998,1,11
iccv,eccv,2006,2002,3,13
iccv,eccv,2006,2004,2,8
iccv,eccv,2007,1990,1,36
iccv,eccv,2007,1992,2,75
iccv,eccv,2007,1994,7,77
iccv,eccv,2007,1996,14,125
iccv,eccv,2007,1998,18,205
iccv,eccv,2007,2000,13,219
iccv,eccv,2007,2002,45,278
iccv,eccv,2007,2004,39,418
iccv,eccv,2007,2006,64,583
iccv,eccv,2008,1998,1,17
iccv,eccv,2008,2000,3,26
iccv,eccv,2008,2002,1,28
iccv,eccv,2008,2004,1,25
iccv,eccv,2008,2006,3,40
iccv,eccv,2009,1990,2,32
iccv,eccv,2009,1992,5,47
iccv,eccv,2009,1994,3,57
iccv,eccv,2009,1996,11,95
iccv,eccv,2009,1998,10,147
iccv,eccv,2009,1999,1,136
iccv,eccv,2009,2000,10,181
iccv,eccv,2009,2002,44,212
iccv,eccv,2009,2004,35,338
iccv,eccv,2009,2006,51,491
iccv,eccv,2009,2007,2,654
iccv,eccv,2009,2008,106,688
iccv,eccv,2010,1996,1,21
iccv,eccv,2010,2000,2,35
iccv,eccv,2010,2002,4,53
iccv,eccv,2010,2004,5,88
iccv,eccv,2010,2006,16,124
iccv,eccv,2010,2008,12,123
iccv,eccv,2011,1990,1,18
iccv,eccv,2011,1992,2,24
iccv,eccv,2011,1994,4,35
iccv,eccv,2011,1996,6,49
iccv,eccv,2011,1998,5,80
iccv,eccv,2011,2000,9,85
iccv,eccv,2011,2002,21,104
iccv,eccv,2011,2003,1,188
iccv,eccv,2011,2004,27,230
iccv,eccv,2011,2006,32,306
iccv,eccv,2011,2008,67,468
iccv,eccv,2011,2009,1,547
iccv,eccv,2011,2010,120,620
iccv,eccv,2012,1994,1,20
iccv,eccv,2012,1996,1,20
iccv,eccv,2012,1998,1,58
iccv,eccv,2012,2000,1,58
iccv,eccv,2012,2002,11,79
iccv,eccv,2012,2003,1,100
iccv,eccv,2012,2004,10,126
iccv,eccv,2012,2006,17,175
iccv,eccv,2012,2008,24,226
iccv,eccv,2012,2009,1,254
iccv,eccv,2012,2010,54,332
iccv,eccv,2013,1992,1,29
iccv,eccv,2013,1994,2,40
iccv,eccv,2013,1996,3,41
iccv,eccv,2013,1998,3,78
iccv,eccv,2013,2000,4,85
iccv,eccv,2013,2002,19,114
iccv,eccv,2013,2004,27,240
iccv,eccv,2013,2006,32,303
iccv,eccv,2013,2008,66,460
iccv,eccv,2013,2009,1,560
iccv,eccv,2013,2010,129,662
iccv,eccv,2013,2011,1,779
iccv,eccv,2013,2012,183,919
iccv,eccv,2014,2008,1,3
iccv,eccv,2015,2004,2,3
iccv,eccv,2015,2006,2,4
iccv,eccv,2015,2008,2,10
iccv,eccv,2015,2010,1,12
iccv,eccv,2015,2012,5,15
iccv,eccv,2015,2014,10,32
