from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iccv,iccv,1988,1987,2,38
iccv,iccv,1990,1987,4,22
iccv,iccv,1990,1988,17,43
iccv,iccv,1993,1987,1,16
iccv,iccv,1993,1988,6,20
iccv,iccv,1993,1990,9,32
iccv,iccv,1995,1987,3,20
iccv,iccv,1995,1988,3,38
iccv,iccv,1995,1990,12,52
iccv,iccv,1995,1991,1,72
iccv,iccv,1995,1993,12,100
iccv,iccv,1998,1987,1,6
iccv,iccv,1998,1993,5,12
iccv,iccv,1998,1995,13,38
iccv,iccv,1999,1987,3,21
iccv,iccv,1999,1990,3,25
iccv,iccv,1999,1993,6,37
iccv,iccv,1999,1995,31,61
iccv,iccv,1999,1996,1,75
iccv,iccv,1999,1998,29,125
iccv,iccv,2001,1987,3,22
iccv,iccv,2001,1988,3,14
iccv,iccv,2001,1990,7,31
iccv,iccv,2001,1993,10,33
iccv,iccv,2001,1995,28,83
iccv,iccv,2001,1998,30,182
iccv,iccv,2001,1999,60,177
iccv,iccv,2003,1987,1,12
iccv,iccv,2003,1988,4,15
iccv,iccv,2003,1990,5,28
iccv,iccv,2003,1993,6,43
iccv,iccv,2003,1995,19,77
iccv,iccv,2003,1998,17,148
iccv,iccv,2003,1999,49,175
iccv,iccv,2003,2001,61,236
iccv,iccv,2005,1988,2,18
iccv,iccv,2005,1990,4,20
iccv,iccv,2005,1993,3,46
iccv,iccv,2005,1995,25,77
iccv,iccv,2005,1998,13,154
iccv,iccv,2005,1999,35,167
iccv,iccv,2005,2001,46,229
iccv,iccv,2005,2003,87,379
iccv,iccv,2006,1998,1,11
iccv,iccv,2006,1999,1,5
iccv,iccv,2006,2001,1,10
iccv,iccv,2006,2003,4,14
iccv,iccv,2006,2005,2,9
iccv,iccv,2007,1988,2,32
iccv,iccv,2007,1990,3,36
iccv,iccv,2007,1993,5,44
iccv,iccv,2007,1995,14,97
iccv,iccv,2007,1998,19,205
iccv,iccv,2007,1999,30,209
iccv,iccv,2007,2001,47,249
iccv,iccv,2007,2003,61,413
iccv,iccv,2007,2005,97,603
iccv,iccv,2008,1990,1,8
iccv,iccv,2008,1998,2,17
iccv,iccv,2008,2001,1,28
iccv,iccv,2008,2003,1,34
iccv,iccv,2008,2005,4,37
iccv,iccv,2008,2007,1,29
iccv,iccv,2009,1988,1,26
iccv,iccv,2009,1990,2,32
iccv,iccv,2009,1993,5,44
iccv,iccv,2009,1995,12,75
iccv,iccv,2009,1998,12,147
iccv,iccv,2009,1999,26,136
iccv,iccv,2009,2001,29,207
iccv,iccv,2009,2003,56,330
iccv,iccv,2009,2005,69,436
iccv,iccv,2009,2006,1,491
iccv,iccv,2009,2007,128,654
iccv,iccv,2010,1993,1,10
iccv,iccv,2010,1995,3,22
iccv,iccv,2010,1998,3,35
iccv,iccv,2010,1999,4,31
iccv,iccv,2010,2001,3,38
iccv,iccv,2010,2003,9,57
iccv,iccv,2010,2005,7,81
iccv,iccv,2010,2007,8,103
iccv,iccv,2010,2008,1,123
iccv,iccv,2010,2009,18,104
iccv,iccv,2011,1987,1,17
iccv,iccv,2011,1988,1,13
iccv,iccv,2011,1990,1,18
iccv,iccv,2011,1993,2,15
iccv,iccv,2011,1995,5,38
iccv,iccv,2011,1998,7,80
iccv,iccv,2011,1999,15,78
iccv,iccv,2011,2001,11,105
iccv,iccv,2011,2003,36,188
iccv,iccv,2011,2005,38,244
iccv,iccv,2011,2007,68,406
iccv,iccv,2011,2009,131,547
iccv,iccv,2011,2010,3,620
iccv,iccv,2012,1995,3,29
iccv,iccv,2012,1998,3,58
iccv,iccv,2012,1999,7,45
iccv,iccv,2012,2001,6,69
iccv,iccv,2012,2003,11,100
iccv,iccv,2012,2005,13,152
iccv,iccv,2012,2007,25,207
iccv,iccv,2012,2009,38,254
iccv,iccv,2012,2010,8,332
iccv,iccv,2012,2011,47,285
iccv,iccv,2013,1987,1,11
iccv,iccv,2013,1988,3,13
iccv,iccv,2013,1990,1,23
iccv,iccv,2013,1993,1,26
iccv,iccv,2013,1995,5,29
iccv,iccv,2013,1998,8,78
iccv,iccv,2013,1999,18,77
iccv,iccv,2013,2001,22,127
iccv,iccv,2013,2003,21,170
iccv,iccv,2013,2005,43,250
iccv,iccv,2013,2007,75,379
iccv,iccv,2013,2009,115,560
iccv,iccv,2013,2011,189,779
iccv,iccv,2013,2012,11,919
iccv,iccv,2014,1999,1,1
iccv,iccv,2014,2005,1,2
iccv,iccv,2014,2007,1,3
iccv,iccv,2014,2013,1,8
iccv,iccv,2015,1998,1,1
iccv,iccv,2015,1999,1,1
iccv,iccv,2015,2003,1,1
iccv,iccv,2015,2009,3,10
iccv,iccv,2015,2011,3,15
iccv,iccv,2015,2013,3,16
