from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iccv,icml,1998,1994,1,18
iccv,icml,2001,1994,2,62
iccv,icml,2001,1996,1,93
iccv,icml,2001,1997,1,111
iccv,icml,2003,1996,2,106
iccv,icml,2003,1997,1,126
iccv,icml,2003,1998,2,148
iccv,icml,2003,1999,4,175
iccv,icml,2003,2000,4,190
iccv,icml,2003,2001,3,236
iccv,icml,2003,2002,1,214
iccv,icml,2005,1994,1,60
iccv,icml,2005,1996,1,92
iccv,icml,2005,1997,2,121
iccv,icml,2005,1998,2,154
iccv,icml,2005,2000,2,176
iccv,icml,2005,2001,2,229
iccv,icml,2005,2002,1,242
iccv,icml,2005,2003,3,379
iccv,icml,2005,2004,4,445
iccv,icml,2007,1994,1,77
iccv,icml,2007,1996,1,125
iccv,icml,2007,1998,1,205
iccv,icml,2007,1999,1,209
iccv,icml,2007,2000,5,219
iccv,icml,2007,2001,2,249
iccv,icml,2007,2002,3,278
iccv,icml,2007,2003,3,413
iccv,icml,2007,2004,9,418
iccv,icml,2007,2005,3,603
iccv,icml,2007,2006,11,583
iccv,icml,2009,1996,2,95
iccv,icml,2009,1997,2,111
iccv,icml,2009,1998,1,147
iccv,icml,2009,1999,2,136
iccv,icml,2009,2000,3,181
iccv,icml,2009,2001,2,207
iccv,icml,2009,2002,4,212
iccv,icml,2009,2003,5,330
iccv,icml,2009,2004,12,338
iccv,icml,2009,2005,4,436
iccv,icml,2009,2006,10,491
iccv,icml,2009,2007,12,654
iccv,icml,2009,2008,8,688
iccv,icml,2010,2003,1,57
iccv,icml,2010,2004,2,88
iccv,icml,2010,2008,2,123
iccv,icml,2010,2009,1,104
iccv,icml,2011,1996,1,49
iccv,icml,2011,2000,1,85
iccv,icml,2011,2001,2,105
iccv,icml,2011,2003,1,188
iccv,icml,2011,2004,7,230
iccv,icml,2011,2005,4,244
iccv,icml,2011,2006,6,306
iccv,icml,2011,2007,11,406
iccv,icml,2011,2008,2,468
iccv,icml,2011,2009,8,547
iccv,icml,2011,2010,5,620
iccv,icml,2012,1998,1,58
iccv,icml,2012,1999,1,45
iccv,icml,2012,2001,1,69
iccv,icml,2012,2002,1,79
iccv,icml,2012,2003,1,100
iccv,icml,2012,2004,2,126
iccv,icml,2012,2006,2,175
iccv,icml,2012,2007,1,207
iccv,icml,2012,2008,1,226
iccv,icml,2012,2009,3,254
iccv,icml,2012,2010,3,332
iccv,icml,2012,2011,1,285
iccv,icml,2013,1996,1,41
iccv,icml,2013,1997,2,43
iccv,icml,2013,1998,1,78
iccv,icml,2013,1999,1,77
iccv,icml,2013,2000,1,85
iccv,icml,2013,2001,2,127
iccv,icml,2013,2003,3,170
iccv,icml,2013,2004,10,240
iccv,icml,2013,2005,4,250
iccv,icml,2013,2006,8,303
iccv,icml,2013,2007,9,379
iccv,icml,2013,2008,12,460
iccv,icml,2013,2009,14,560
iccv,icml,2013,2010,12,662
iccv,icml,2013,2011,14,779
iccv,icml,2013,2012,14,919
iccv,icml,2014,2013,1,8
iccv,icml,2015,2001,1,2
iccv,icml,2015,2013,3,16
iccv,icml,2015,2014,2,32
