from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iccv,icpr,1988,1984,1,15
iccv,icpr,1988,1986,2,29
iccv,icpr,1990,1982,1,8
iccv,icpr,1990,1988,1,43
iccv,icpr,1993,1988,1,20
iccv,icpr,1993,1990,3,32
iccv,icpr,1993,1992,1,37
iccv,icpr,1995,1986,1,25
iccv,icpr,1995,1988,1,38
iccv,icpr,1995,1990,2,52
iccv,icpr,1995,1992,2,114
iccv,icpr,1995,1994,8,151
iccv,icpr,1998,1982,1,2
iccv,icpr,1998,1988,1,5
iccv,icpr,1998,1994,5,18
iccv,icpr,1998,1996,4,52
iccv,icpr,1999,1982,1,4
iccv,icpr,1999,1986,1,10
iccv,icpr,1999,1988,1,14
iccv,icpr,1999,1994,4,56
iccv,icpr,1999,1996,4,75
iccv,icpr,1999,1998,2,125
iccv,icpr,2001,1990,1,31
iccv,icpr,2001,1994,3,62
iccv,icpr,2001,1996,8,93
iccv,icpr,2001,1998,3,182
iccv,icpr,2001,2000,7,173
iccv,icpr,2003,1988,1,15
iccv,icpr,2003,1994,3,67
iccv,icpr,2003,1996,8,106
iccv,icpr,2003,1998,2,148
iccv,icpr,2003,2000,3,190
iccv,icpr,2003,2002,18,214
iccv,icpr,2005,1976,1,6
iccv,icpr,2005,1978,1,3
iccv,icpr,2005,1984,1,10
iccv,icpr,2005,1988,1,18
iccv,icpr,2005,1990,2,20
iccv,icpr,2005,1994,3,60
iccv,icpr,2005,1996,6,92
iccv,icpr,2005,1998,3,154
iccv,icpr,2005,2000,13,176
iccv,icpr,2005,2002,18,242
iccv,icpr,2005,2003,1,379
iccv,icpr,2005,2004,21,445
iccv,icpr,2006,2002,1,13
iccv,icpr,2006,2004,1,8
iccv,icpr,2007,1982,1,17
iccv,icpr,2007,1988,1,32
iccv,icpr,2007,1992,1,75
iccv,icpr,2007,1994,3,77
iccv,icpr,2007,1996,12,125
iccv,icpr,2007,1998,8,205
iccv,icpr,2007,2000,8,219
iccv,icpr,2007,2002,6,278
iccv,icpr,2007,2004,17,418
iccv,icpr,2007,2006,23,583
iccv,icpr,2008,1994,1,10
iccv,icpr,2008,1996,1,12
iccv,icpr,2008,2000,2,26
iccv,icpr,2008,2002,3,28
iccv,icpr,2008,2006,3,40
iccv,icpr,2009,1984,1,9
iccv,icpr,2009,1994,2,57
iccv,icpr,2009,1996,6,95
iccv,icpr,2009,2000,3,181
iccv,icpr,2009,2002,5,212
iccv,icpr,2009,2004,9,338
iccv,icpr,2009,2005,1,436
iccv,icpr,2009,2006,15,491
iccv,icpr,2009,2008,14,688
iccv,icpr,2010,1992,1,12
iccv,icpr,2010,1998,1,35
iccv,icpr,2010,2002,4,53
iccv,icpr,2010,2004,6,88
iccv,icpr,2010,2005,1,81
iccv,icpr,2010,2006,3,124
iccv,icpr,2010,2008,4,123
iccv,icpr,2011,1992,1,24
iccv,icpr,2011,1994,1,35
iccv,icpr,2011,1998,2,80
iccv,icpr,2011,2000,3,85
iccv,icpr,2011,2002,4,104
iccv,icpr,2011,2004,7,230
iccv,icpr,2011,2006,12,306
iccv,icpr,2011,2007,1,406
iccv,icpr,2011,2008,13,468
iccv,icpr,2011,2010,13,620
iccv,icpr,2012,1984,1,6
iccv,icpr,2012,1990,1,21
iccv,icpr,2012,1994,2,20
iccv,icpr,2012,1996,1,20
iccv,icpr,2012,1998,6,58
iccv,icpr,2012,2000,1,58
iccv,icpr,2012,2002,2,79
iccv,icpr,2012,2004,5,126
iccv,icpr,2012,2006,10,175
iccv,icpr,2012,2008,9,226
iccv,icpr,2012,2010,16,332
iccv,icpr,2013,1990,1,23
iccv,icpr,2013,1994,1,40
iccv,icpr,2013,1996,2,41
iccv,icpr,2013,1998,2,78
iccv,icpr,2013,2000,2,85
iccv,icpr,2013,2002,4,114
iccv,icpr,2013,2004,4,240
iccv,icpr,2013,2006,5,303
iccv,icpr,2013,2007,1,379
iccv,icpr,2013,2008,8,460
iccv,icpr,2013,2010,11,662
iccv,icpr,2013,2011,1,779
iccv,icpr,2013,2012,12,919
