from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iccv,icra,1988,1986,3,29
iccv,icra,1988,1987,1,38
iccv,icra,1990,1985,1,17
iccv,icra,1990,1986,3,23
iccv,icra,1990,1987,3,22
iccv,icra,1990,1988,1,43
iccv,icra,1990,1989,2,41
iccv,icra,1993,1988,1,20
iccv,icra,1995,1985,1,16
iccv,icra,1995,1988,1,38
iccv,icra,1995,1990,1,52
iccv,icra,1995,1991,1,72
iccv,icra,1995,1992,4,114
iccv,icra,1995,1994,5,151
iccv,icra,1998,1991,1,11
iccv,icra,1998,1996,1,52
iccv,icra,1999,1996,2,75
iccv,icra,1999,1997,1,86
iccv,icra,2001,1987,1,22
iccv,icra,2001,1991,2,27
iccv,icra,2001,1994,1,62
iccv,icra,2001,1996,1,93
iccv,icra,2003,1991,2,32
iccv,icra,2003,1992,1,59
iccv,icra,2003,1993,1,43
iccv,icra,2003,1994,1,67
iccv,icra,2003,2000,2,190
iccv,icra,2003,2001,2,236
iccv,icra,2003,2002,1,214
iccv,icra,2005,1989,1,24
iccv,icra,2005,1991,1,43
iccv,icra,2005,1993,1,46
iccv,icra,2005,2003,1,379
iccv,icra,2005,2004,3,445
iccv,icra,2007,1988,1,32
iccv,icra,2007,1989,1,33
iccv,icra,2007,1991,1,36
iccv,icra,2007,1992,1,75
iccv,icra,2007,1995,1,97
iccv,icra,2007,1997,1,122
iccv,icra,2007,1999,1,209
iccv,icra,2007,2002,2,278
iccv,icra,2007,2003,4,413
iccv,icra,2007,2005,4,603
iccv,icra,2007,2006,5,583
iccv,icra,2009,1985,1,14
iccv,icra,2009,1986,1,17
iccv,icra,2009,1991,1,41
iccv,icra,2009,1994,1,57
iccv,icra,2009,1997,1,111
iccv,icra,2009,2000,2,181
iccv,icra,2009,2001,1,207
iccv,icra,2009,2003,1,330
iccv,icra,2009,2004,1,338
iccv,icra,2009,2005,2,436
iccv,icra,2009,2006,1,491
iccv,icra,2009,2007,5,654
iccv,icra,2009,2008,3,688
iccv,icra,2010,2001,1,38
iccv,icra,2010,2002,1,53
iccv,icra,2010,2008,2,123
iccv,icra,2011,1985,1,13
iccv,icra,2011,1991,1,17
iccv,icra,2011,1994,1,35
iccv,icra,2011,2000,1,85
iccv,icra,2011,2003,2,188
iccv,icra,2011,2004,4,230
iccv,icra,2011,2005,3,244
iccv,icra,2011,2006,4,306
iccv,icra,2011,2007,6,406
iccv,icra,2011,2008,2,468
iccv,icra,2011,2009,12,547
iccv,icra,2011,2010,9,620
iccv,icra,2012,1990,1,21
iccv,icra,2012,1991,1,16
iccv,icra,2012,2006,1,175
iccv,icra,2012,2007,1,207
iccv,icra,2012,2008,1,226
iccv,icra,2012,2009,5,254
iccv,icra,2012,2010,1,332
iccv,icra,2012,2011,5,285
iccv,icra,2013,1991,1,19
iccv,icra,2013,2001,3,127
iccv,icra,2013,2004,1,240
iccv,icra,2013,2005,1,250
iccv,icra,2013,2007,1,379
iccv,icra,2013,2008,1,460
iccv,icra,2013,2009,4,560
iccv,icra,2013,2011,11,779
iccv,icra,2013,2012,3,919
