from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iccv,ijcai,1988,1973,1,3
iccv,ijcai,1988,1977,2,6
iccv,ijcai,1988,1979,2,12
iccv,ijcai,1988,1981,2,11
iccv,ijcai,1988,1983,4,24
iccv,ijcai,1988,1985,1,18
iccv,ijcai,1988,1987,3,38
iccv,ijcai,1990,1971,1,3
iccv,ijcai,1990,1977,1,4
iccv,ijcai,1990,1979,1,7
iccv,ijcai,1990,1980,1,6
iccv,ijcai,1990,1983,1,7
iccv,ijcai,1993,1977,1,5
iccv,ijcai,1993,1979,2,4
iccv,ijcai,1993,1981,1,3
iccv,ijcai,1993,1983,1,6
iccv,ijcai,1993,1985,1,12
iccv,ijcai,1993,1989,1,15
iccv,ijcai,1993,1991,1,34
iccv,ijcai,1995,1981,1,13
iccv,ijcai,1995,1983,1,8
iccv,ijcai,1995,1985,1,16
iccv,ijcai,1998,1995,1,38
iccv,ijcai,1999,1981,2,8
iccv,ijcai,1999,1991,1,24
iccv,ijcai,2001,1981,2,10
iccv,ijcai,2001,1983,1,8
iccv,ijcai,2001,1999,1,177
iccv,ijcai,2003,1977,1,4
iccv,ijcai,2003,1979,1,6
iccv,ijcai,2003,1981,1,11
iccv,ijcai,2003,1985,1,9
iccv,ijcai,2003,1995,1,77
iccv,ijcai,2003,1997,1,126
iccv,ijcai,2003,2001,1,236
iccv,ijcai,2005,1979,1,9
iccv,ijcai,2005,1981,1,9
iccv,ijcai,2005,1985,1,11
iccv,ijcai,2005,1997,1,121
iccv,ijcai,2005,1999,1,167
iccv,ijcai,2005,2001,1,229
iccv,ijcai,2005,2003,1,379
iccv,ijcai,2006,2003,1,14
iccv,ijcai,2007,1981,1,12
iccv,ijcai,2007,1987,1,25
iccv,ijcai,2007,1997,1,122
iccv,ijcai,2007,1999,1,209
iccv,ijcai,2007,2003,6,413
iccv,ijcai,2008,1981,1,3
iccv,ijcai,2009,1977,2,4
iccv,ijcai,2009,1981,3,11
iccv,ijcai,2009,1989,1,25
iccv,ijcai,2009,1993,1,44
iccv,ijcai,2009,2003,2,330
iccv,ijcai,2009,2007,1,654
iccv,ijcai,2010,1981,1,4
iccv,ijcai,2010,1985,1,4
iccv,ijcai,2010,2007,1,103
iccv,ijcai,2010,2009,1,104
iccv,ijcai,2011,1977,1,5
iccv,ijcai,2011,1981,2,4
iccv,ijcai,2011,1983,1,10
iccv,ijcai,2011,1985,1,13
iccv,ijcai,2011,1989,1,19
iccv,ijcai,2011,2001,2,105
iccv,ijcai,2011,2005,1,244
iccv,ijcai,2011,2009,1,547
iccv,ijcai,2012,1977,1,6
iccv,ijcai,2012,1981,1,6
iccv,ijcai,2012,1985,1,11
iccv,ijcai,2012,2003,1,100
iccv,ijcai,2012,2007,2,207
iccv,ijcai,2013,1977,1,6
iccv,ijcai,2013,1979,1,2
iccv,ijcai,2013,1981,3,9
iccv,ijcai,2013,2007,1,379
iccv,ijcai,2013,2009,3,560
iccv,ijcai,2013,2011,2,779
iccv,ijcai,2015,1981,1,1
