from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icdar,iccv,1993,1988,1,24
icdar,iccv,1995,1990,1,30
icdar,iccv,1997,1988,1,7
icdar,iccv,2003,1998,1,110
icdar,iccv,2003,2001,2,174
icdar,iccv,2005,2001,2,115
icdar,iccv,2007,1995,1,51
icdar,iccv,2007,1998,1,53
icdar,iccv,2007,2001,3,85
icdar,iccv,2007,2003,1,101
icdar,iccv,2007,2005,3,129
icdar,iccv,2009,1988,1,9
icdar,iccv,2009,1999,1,64
icdar,iccv,2009,2001,6,102
icdar,iccv,2009,2003,1,120
icdar,iccv,2009,2005,3,146
icdar,iccv,2009,2007,1,188
icdar,iccv,2011,1988,1,1
icdar,iccv,2011,1999,1,12
icdar,iccv,2011,2003,2,21
icdar,iccv,2011,2009,1,44
icdar,iccv,2015,1999,1,11
icdar,iccv,2015,2003,1,31
icdar,iccv,2015,2007,1,44
icdar,iccv,2015,2011,2,74
icdar,iccv,2015,2013,9,109
