from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icml,acl,1999,1996,1,4
icml,acl,2000,1998,1,34
icml,acl,2000,1999,2,26
icml,acl,2001,1993,1,4
icml,acl,2002,1993,1,5
icml,acl,2002,2000,1,26
icml,acl,2003,1993,1,16
icml,acl,2003,1995,1,44
icml,acl,2003,2000,1,92
icml,acl,2003,2002,1,104
icml,acl,2004,1999,1,86
icml,acl,2004,2000,2,118
icml,acl,2004,2002,2,150
icml,acl,2004,2003,1,193
icml,acl,2005,1993,1,22
icml,acl,2005,1995,1,50
icml,acl,2005,1999,1,76
icml,acl,2005,2001,1,122
icml,acl,2005,2002,3,126
icml,acl,2005,2003,2,178
icml,acl,2005,2004,5,215
icml,acl,2006,1996,1,47
icml,acl,2006,2002,1,106
icml,acl,2006,2003,1,152
icml,acl,2006,2004,1,187
icml,acl,2006,2005,5,223
icml,acl,2007,1995,1,33
icml,acl,2007,1996,1,31
icml,acl,2007,2000,1,93
icml,acl,2007,2002,2,111
icml,acl,2007,2003,2,149
icml,acl,2007,2004,4,176
icml,acl,2007,2005,6,223
icml,acl,2008,1993,1,20
icml,acl,2008,2000,1,86
icml,acl,2008,2002,2,103
icml,acl,2008,2003,1,114
icml,acl,2008,2004,3,140
icml,acl,2008,2005,2,184
icml,acl,2008,2007,6,233
icml,acl,2009,1998,1,50
icml,acl,2009,2001,1,68
icml,acl,2009,2002,4,81
icml,acl,2009,2004,1,110
icml,acl,2009,2007,1,198
icml,acl,2009,2008,3,209
icml,acl,2010,1994,1,17
icml,acl,2010,2002,1,52
icml,acl,2010,2005,2,91
icml,acl,2010,2007,1,138
icml,acl,2010,2008,4,169
icml,acl,2010,2009,4,152
icml,acl,2011,2003,1,75
icml,acl,2011,2004,1,92
icml,acl,2011,2007,1,141
icml,acl,2011,2009,2,198
icml,acl,2012,1993,1,8
icml,acl,2012,2002,1,51
icml,acl,2012,2005,1,111
icml,acl,2012,2006,1,133
icml,acl,2012,2007,2,155
icml,acl,2012,2008,1,168
icml,acl,2012,2009,1,237
icml,acl,2012,2010,2,260
icml,acl,2012,2011,2,223
icml,acl,2013,1993,1,17
icml,acl,2013,2004,1,130
icml,acl,2013,2007,3,184
icml,acl,2013,2008,2,242
icml,acl,2013,2009,2,298
icml,acl,2013,2010,1,299
icml,acl,2013,2011,3,323
icml,acl,2013,2012,1,402
icml,acl,2014,1999,1,65
icml,acl,2014,2002,2,83
icml,acl,2014,2003,2,132
icml,acl,2014,2004,1,111
icml,acl,2014,2005,4,159
icml,acl,2014,2007,3,196
icml,acl,2014,2008,1,215
icml,acl,2014,2009,1,300
icml,acl,2014,2010,3,309
icml,acl,2014,2011,5,335
icml,acl,2014,2012,4,440
icml,acl,2014,2013,3,366
icml,acl,2015,1998,1,14
icml,acl,2015,2003,1,28
icml,acl,2015,2007,1,54
icml,acl,2015,2011,3,77
icml,acl,2015,2012,1,116
icml,acl,2015,2013,1,119
icml,acl,2015,2014,1,116
