from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icml,bmvc,2004,2000,1,118
icml,bmvc,2004,2002,1,150
icml,bmvc,2004,2003,1,193
icml,bmvc,2007,2001,1,105
icml,bmvc,2007,2003,2,149
icml,bmvc,2007,2005,2,223
icml,bmvc,2007,2006,1,242
icml,bmvc,2008,2004,1,140
icml,bmvc,2008,2007,1,233
icml,bmvc,2009,2008,1,209
icml,bmvc,2010,2008,1,169
icml,bmvc,2010,2009,1,152
icml,bmvc,2011,2009,1,198
icml,bmvc,2012,2005,1,111
icml,bmvc,2012,2008,1,168
icml,bmvc,2012,2009,1,237
icml,bmvc,2013,2008,1,242
icml,bmvc,2013,2009,2,298
icml,bmvc,2013,2010,1,299
icml,bmvc,2013,2011,1,323
icml,bmvc,2014,2005,1,159
icml,bmvc,2014,2006,1,179
icml,bmvc,2014,2008,1,215
icml,bmvc,2014,2009,1,300
icml,bmvc,2014,2010,2,309
icml,bmvc,2014,2012,1,440
icml,bmvc,2015,2013,1,119
icml,bmvc,2015,2014,1,116
