from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icml,coling,1999,1992,1,3
icml,coling,2002,1988,1,1
icml,coling,2003,2002,1,104
icml,coling,2004,1994,1,36
icml,coling,2004,2000,1,118
icml,coling,2004,2002,2,150
icml,coling,2005,2002,1,126
icml,coling,2005,2004,2,215
icml,coling,2006,2004,2,187
icml,coling,2007,1988,1,11
icml,coling,2007,2002,2,111
icml,coling,2007,2004,1,176
icml,coling,2007,2006,4,242
icml,coling,2008,2002,1,103
icml,coling,2008,2006,3,196
icml,coling,2009,1996,2,23
icml,coling,2009,2000,1,45
icml,coling,2009,2006,1,167
icml,coling,2010,2006,1,128
icml,coling,2011,2006,1,117
icml,coling,2012,2006,2,133
icml,coling,2012,2010,1,260
icml,coling,2013,2006,2,164
icml,coling,2014,2002,1,83
icml,coling,2014,2006,2,179
icml,coling,2014,2008,2,215
icml,coling,2014,2010,2,309
icml,coling,2014,2011,1,335
icml,coling,2014,2012,3,440
icml,coling,2015,2002,1,13
icml,coling,2015,2006,2,38
