from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icml,colt,1993,1992,1,27
icml,colt,1994,1992,2,31
icml,colt,1995,1993,1,31
icml,colt,1996,1995,1,23
icml,colt,1997,1995,1,7
icml,colt,1999,1988,1,2
icml,colt,1999,1994,1,5
icml,colt,1999,1998,1,9
icml,colt,2000,1995,1,20
icml,colt,2000,1996,1,15
icml,colt,2000,1998,1,34
icml,colt,2001,1992,2,4
icml,colt,2002,1998,1,17
icml,colt,2003,1992,2,21
icml,colt,2003,1994,2,34
icml,colt,2003,1995,2,44
icml,colt,2003,1996,1,37
icml,colt,2003,1997,2,50
icml,colt,2003,1998,2,64
icml,colt,2003,1999,1,71
icml,colt,2003,2001,3,87
icml,colt,2003,2002,2,104
icml,colt,2004,1991,1,21
icml,colt,2004,1992,2,26
icml,colt,2004,1994,1,36
icml,colt,2004,1995,1,55
icml,colt,2004,1996,1,35
icml,colt,2004,1998,2,90
icml,colt,2004,1999,5,86
icml,colt,2004,2000,3,118
icml,colt,2004,2001,4,111
icml,colt,2004,2003,5,193
icml,colt,2005,1992,2,25
icml,colt,2005,1994,1,36
icml,colt,2005,1995,1,50
icml,colt,2005,1998,5,86
icml,colt,2005,1999,2,76
icml,colt,2005,2000,1,108
icml,colt,2005,2001,5,122
icml,colt,2005,2002,1,126
icml,colt,2005,2003,5,178
icml,colt,2005,2004,4,215
icml,colt,2006,1989,1,15
icml,colt,2006,1992,3,19
icml,colt,2006,1994,4,31
icml,colt,2006,1995,1,44
icml,colt,2006,1996,1,47
icml,colt,2006,1997,1,58
icml,colt,2006,1998,2,67
icml,colt,2006,1999,6,73
icml,colt,2006,2000,1,78
icml,colt,2006,2001,3,83
icml,colt,2006,2002,1,106
icml,colt,2006,2003,5,152
icml,colt,2006,2004,5,187
icml,colt,2006,2005,7,223
icml,colt,2007,1988,1,11
icml,colt,2007,1992,1,19
icml,colt,2007,1998,3,57
icml,colt,2007,1999,3,68
icml,colt,2007,2000,1,93
icml,colt,2007,2001,4,105
icml,colt,2007,2003,4,149
icml,colt,2007,2004,5,176
icml,colt,2007,2005,8,223
icml,colt,2007,2006,8,242
icml,colt,2008,1989,1,11
icml,colt,2008,1991,1,12
icml,colt,2008,1992,3,20
icml,colt,2008,1993,1,20
icml,colt,2008,1994,1,23
icml,colt,2008,1995,1,34
icml,colt,2008,1997,1,41
icml,colt,2008,1998,4,46
icml,colt,2008,1999,4,63
icml,colt,2008,2000,2,86
icml,colt,2008,2001,3,76
icml,colt,2008,2002,2,103
icml,colt,2008,2003,3,114
icml,colt,2008,2004,4,140
icml,colt,2008,2005,5,184
icml,colt,2008,2006,6,196
icml,colt,2008,2007,4,233
icml,colt,2009,1992,2,21
icml,colt,2009,1994,1,18
icml,colt,2009,1995,1,26
icml,colt,2009,1997,2,37
icml,colt,2009,1998,2,50
icml,colt,2009,1999,1,46
icml,colt,2009,2001,3,68
icml,colt,2009,2003,2,101
icml,colt,2009,2004,1,110
icml,colt,2009,2005,6,119
icml,colt,2009,2006,2,167
icml,colt,2009,2007,2,198
icml,colt,2009,2008,3,209
icml,colt,2010,1992,2,13
icml,colt,2010,1993,1,3
icml,colt,2010,1994,2,17
icml,colt,2010,1998,1,23
icml,colt,2010,2001,2,46
icml,colt,2010,2003,1,71
icml,colt,2010,2005,2,91
icml,colt,2010,2006,4,128
icml,colt,2010,2008,4,169
icml,colt,2011,1992,1,10
icml,colt,2011,1996,1,15
icml,colt,2011,1997,2,33
icml,colt,2011,1998,2,32
icml,colt,2011,1999,2,34
icml,colt,2011,2000,1,35
icml,colt,2011,2001,2,48
icml,colt,2011,2003,1,75
icml,colt,2011,2005,5,82
icml,colt,2011,2006,1,117
icml,colt,2011,2008,4,167
icml,colt,2011,2009,2,198
icml,colt,2011,2010,2,202
icml,colt,2012,1995,1,25
icml,colt,2012,1996,1,20
icml,colt,2012,1998,3,34
icml,colt,2012,1999,1,41
icml,colt,2012,2001,1,54
icml,colt,2012,2002,1,51
icml,colt,2012,2003,3,83
icml,colt,2012,2004,2,85
icml,colt,2012,2005,1,111
icml,colt,2012,2006,2,133
icml,colt,2012,2008,2,168
icml,colt,2012,2009,4,237
icml,colt,2012,2010,1,260
icml,colt,2012,2011,1,223
icml,colt,2013,1989,1,11
icml,colt,2013,1991,1,16
icml,colt,2013,1992,1,25
icml,colt,2013,1993,3,17
icml,colt,2013,1994,1,28
icml,colt,2013,1996,1,22
icml,colt,2013,1998,2,42
icml,colt,2013,1999,2,55
icml,colt,2013,2001,2,78
icml,colt,2013,2002,1,78
icml,colt,2013,2003,3,118
icml,colt,2013,2004,1,130
icml,colt,2013,2005,5,114
icml,colt,2013,2006,2,164
icml,colt,2013,2007,3,184
icml,colt,2013,2008,5,242
icml,colt,2013,2009,1,298
icml,colt,2013,2010,2,299
icml,colt,2013,2012,1,402
icml,colt,2014,1989,1,14
icml,colt,2014,1991,1,14
icml,colt,2014,1992,2,28
icml,colt,2014,1994,1,28
icml,colt,2014,1995,1,36
icml,colt,2014,1996,2,27
icml,colt,2014,1997,2,34
icml,colt,2014,1998,1,48
icml,colt,2014,1999,1,65
icml,colt,2014,2000,1,51
icml,colt,2014,2001,4,71
icml,colt,2014,2003,2,132
icml,colt,2014,2004,1,111
icml,colt,2014,2005,3,159
icml,colt,2014,2006,1,179
icml,colt,2014,2007,4,196
icml,colt,2014,2008,4,215
icml,colt,2014,2009,5,300
icml,colt,2014,2010,4,309
icml,colt,2014,2012,1,440
icml,colt,2014,2013,9,366
icml,colt,2015,1991,1,5
icml,colt,2015,1993,1,4
icml,colt,2015,1999,1,16
icml,colt,2015,2001,2,23
icml,colt,2015,2003,2,28
icml,colt,2015,2005,1,27
icml,colt,2015,2008,2,60
icml,colt,2015,2010,2,72
icml,colt,2015,2012,1,116
icml,colt,2015,2014,1,116
