from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icml,ecai,1991,1988,1,27
icml,ecai,1991,1990,1,29
icml,ecai,1996,1992,1,14
icml,ecai,2000,1990,1,7
icml,ecai,2000,1992,1,15
icml,ecai,2002,1994,1,4
icml,ecai,2003,1990,1,16
icml,ecai,2003,1998,2,64
icml,ecai,2004,1992,1,26
icml,ecai,2004,1996,1,35
icml,ecai,2005,1990,1,11
icml,ecai,2005,2004,2,215
icml,ecai,2006,1994,1,31
icml,ecai,2006,1998,1,67
icml,ecai,2006,2002,1,106
icml,ecai,2007,2006,1,242
icml,ecai,2008,2006,1,196
icml,ecai,2009,2006,1,167
icml,ecai,2009,2008,1,209
icml,ecai,2010,2008,2,169
