from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icml,eccv,1998,1996,1,6
icml,eccv,2003,2000,1,92
icml,eccv,2003,2002,1,104
icml,eccv,2004,1998,1,90
icml,eccv,2004,2000,1,118
icml,eccv,2004,2002,7,150
icml,eccv,2005,1998,1,86
icml,eccv,2005,2000,1,108
icml,eccv,2005,2002,1,126
icml,eccv,2006,1998,1,67
icml,eccv,2006,2002,1,106
icml,eccv,2006,2004,5,187
icml,eccv,2007,2000,1,93
icml,eccv,2007,2002,2,111
icml,eccv,2007,2004,2,176
icml,eccv,2007,2006,3,242
icml,eccv,2008,1996,1,29
icml,eccv,2008,1998,1,46
icml,eccv,2008,2002,2,103
icml,eccv,2008,2006,3,196
icml,eccv,2009,2002,1,81
icml,eccv,2009,2004,3,110
icml,eccv,2009,2006,2,167
icml,eccv,2009,2008,2,209
icml,eccv,2010,1994,1,17
icml,eccv,2010,2002,1,52
icml,eccv,2010,2006,2,128
icml,eccv,2010,2008,3,169
icml,eccv,2011,1996,1,15
icml,eccv,2011,1998,1,32
icml,eccv,2011,2000,1,35
icml,eccv,2011,2004,2,92
icml,eccv,2011,2006,3,117
icml,eccv,2011,2008,6,167
icml,eccv,2011,2010,5,202
icml,eccv,2012,1996,1,20
icml,eccv,2012,2006,1,133
icml,eccv,2012,2008,3,168
icml,eccv,2012,2010,8,260
icml,eccv,2013,1996,1,22
icml,eccv,2013,2000,1,54
icml,eccv,2013,2004,2,130
icml,eccv,2013,2006,2,164
icml,eccv,2013,2008,6,242
icml,eccv,2013,2010,14,299
icml,eccv,2013,2012,8,402
icml,eccv,2014,2000,1,51
icml,eccv,2014,2002,1,83
icml,eccv,2014,2004,2,111
icml,eccv,2014,2006,1,179
icml,eccv,2014,2008,6,215
icml,eccv,2014,2010,5,309
icml,eccv,2014,2012,11,440
icml,eccv,2014,2013,1,366
icml,eccv,2015,2010,2,72
icml,eccv,2015,2012,1,116
icml,eccv,2015,2013,1,119
icml,eccv,2015,2014,3,116
