from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icml,emnlp,2002,2001,1,17
icml,emnlp,2003,2000,1,92
icml,emnlp,2003,2001,1,87
icml,emnlp,2003,2002,1,104
icml,emnlp,2004,2000,1,118
icml,emnlp,2004,2002,1,150
icml,emnlp,2004,2003,1,193
icml,emnlp,2005,2002,1,126
icml,emnlp,2005,2004,4,215
icml,emnlp,2006,2002,1,106
icml,emnlp,2006,2004,3,187
icml,emnlp,2006,2005,1,223
icml,emnlp,2007,2002,1,111
icml,emnlp,2007,2004,2,176
icml,emnlp,2007,2005,2,223
icml,emnlp,2007,2006,1,242
icml,emnlp,2008,2002,1,103
icml,emnlp,2008,2003,1,114
icml,emnlp,2008,2004,1,140
icml,emnlp,2008,2005,4,184
icml,emnlp,2008,2006,1,196
icml,emnlp,2009,2002,1,81
icml,emnlp,2009,2005,2,119
icml,emnlp,2009,2006,2,167
icml,emnlp,2009,2007,3,198
icml,emnlp,2009,2008,3,209
icml,emnlp,2010,2002,1,52
icml,emnlp,2010,2008,2,169
icml,emnlp,2011,2002,1,59
icml,emnlp,2011,2004,1,92
icml,emnlp,2011,2006,2,117
icml,emnlp,2011,2007,2,141
icml,emnlp,2011,2008,2,167
icml,emnlp,2011,2010,2,202
icml,emnlp,2012,2002,1,51
icml,emnlp,2012,2005,2,111
icml,emnlp,2012,2006,1,133
icml,emnlp,2012,2007,1,155
icml,emnlp,2012,2008,1,168
icml,emnlp,2012,2009,1,237
icml,emnlp,2012,2010,1,260
icml,emnlp,2012,2011,2,223
icml,emnlp,2013,2002,1,78
icml,emnlp,2013,2006,1,164
icml,emnlp,2013,2007,1,184
icml,emnlp,2013,2008,2,242
icml,emnlp,2013,2009,1,298
icml,emnlp,2013,2010,2,299
icml,emnlp,2013,2011,4,323
icml,emnlp,2013,2012,2,402
icml,emnlp,2014,2002,1,83
icml,emnlp,2014,2005,1,159
icml,emnlp,2014,2006,2,179
icml,emnlp,2014,2007,1,196
icml,emnlp,2014,2008,5,215
icml,emnlp,2014,2009,3,300
icml,emnlp,2014,2010,2,309
icml,emnlp,2014,2011,3,335
icml,emnlp,2014,2012,7,440
icml,emnlp,2014,2013,9,366
icml,emnlp,2015,2002,1,13
icml,emnlp,2015,2009,1,61
icml,emnlp,2015,2011,1,77
icml,emnlp,2015,2013,5,119
icml,emnlp,2015,2014,3,116
