from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icml,icann,1999,1997,1,11
icml,icann,2003,1998,1,64
icml,icann,2004,1999,3,86
icml,icann,2004,2001,4,111
icml,icann,2004,2002,2,150
icml,icann,2005,1996,1,50
icml,icann,2005,1999,1,76
icml,icann,2005,2002,1,126
icml,icann,2006,1995,1,44
icml,icann,2006,1996,1,47
icml,icann,2006,1999,2,73
icml,icann,2006,2002,1,106
icml,icann,2006,2005,2,223
icml,icann,2007,1998,1,57
icml,icann,2007,1999,6,68
icml,icann,2007,2002,1,111
icml,icann,2007,2005,1,223
icml,icann,2008,1995,1,34
icml,icann,2008,1999,2,63
icml,icann,2008,2002,1,103
icml,icann,2008,2005,1,184
icml,icann,2009,1998,1,50
icml,icann,2009,1999,1,46
icml,icann,2009,2002,1,81
icml,icann,2010,1999,1,27
icml,icann,2011,1999,1,34
icml,icann,2011,2007,1,141
icml,icann,2011,2010,2,202
icml,icann,2012,1995,2,25
icml,icann,2012,1998,1,34
icml,icann,2012,1999,1,41
icml,icann,2012,2011,1,223
icml,icann,2013,1999,2,55
icml,icann,2013,2005,1,114
icml,icann,2013,2011,1,323
icml,icann,2014,2005,1,159
icml,icann,2014,2008,1,215
icml,icann,2014,2011,1,335
icml,icann,2015,1995,1,14
icml,icann,2015,2011,1,77
