from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icml,icml,1990,1987,1,18
icml,icml,1990,1988,3,19
icml,icml,1990,1989,2,19
icml,icml,1992,1990,1,26
icml,icml,1992,1991,1,22
icml,icml,1993,1992,1,27
icml,icml,1994,1987,1,9
icml,icml,1994,1989,2,13
icml,icml,1994,1991,1,15
icml,icml,1994,1993,1,28
icml,icml,1995,1988,1,12
icml,icml,1995,1993,1,31
icml,icml,1995,1994,1,36
icml,icml,1996,1989,1,6
icml,icml,1996,1990,1,11
icml,icml,1996,1994,2,17
icml,icml,1996,1995,4,23
icml,icml,1997,1992,1,6
icml,icml,1997,1994,2,5
icml,icml,1997,1995,1,7
icml,icml,1997,1996,1,3
icml,icml,1998,1991,1,2
icml,icml,1998,1994,4,8
icml,icml,1998,1996,1,6
icml,icml,1999,1994,2,5
icml,icml,1999,1995,3,5
icml,icml,1999,1998,3,9
icml,icml,2000,1987,2,3
icml,icml,2000,1992,3,15
icml,icml,2000,1993,2,9
icml,icml,2000,1994,3,15
icml,icml,2000,1995,2,20
icml,icml,2000,1996,3,15
icml,icml,2000,1997,7,32
icml,icml,2000,1998,9,34
icml,icml,2000,1999,3,26
icml,icml,2001,1992,1,4
icml,icml,2001,1993,1,4
icml,icml,2001,1994,1,6
icml,icml,2001,1995,3,10
icml,icml,2001,1996,2,15
icml,icml,2001,1997,1,13
icml,icml,2001,1998,5,17
icml,icml,2001,2000,8,23
icml,icml,2002,1993,2,5
icml,icml,2002,1994,1,4
icml,icml,2002,1996,2,12
icml,icml,2002,1997,2,9
icml,icml,2002,1998,2,17
icml,icml,2002,1999,7,16
icml,icml,2002,2000,7,26
icml,icml,2002,2001,2,17
icml,icml,2003,1984,1,2
icml,icml,2003,1988,2,9
icml,icml,2003,1989,1,9
icml,icml,2003,1990,1,16
icml,icml,2003,1992,2,21
icml,icml,2003,1993,2,16
icml,icml,2003,1994,4,34
icml,icml,2003,1995,7,44
icml,icml,2003,1996,5,37
icml,icml,2003,1997,7,50
icml,icml,2003,1998,11,64
icml,icml,2003,1999,10,71
icml,icml,2003,2000,23,92
icml,icml,2003,2001,11,87
icml,icml,2003,2002,22,104
icml,icml,2004,1987,1,3
icml,icml,2004,1989,1,15
icml,icml,2004,1992,3,26
icml,icml,2004,1993,3,17
icml,icml,2004,1994,3,36
icml,icml,2004,1995,8,55
icml,icml,2004,1996,2,35
icml,icml,2004,1997,5,66
icml,icml,2004,1998,12,90
icml,icml,2004,1999,8,86
icml,icml,2004,2000,24,118
icml,icml,2004,2001,9,111
icml,icml,2004,2002,21,150
icml,icml,2004,2003,28,193
icml,icml,2005,1992,1,25
icml,icml,2005,1993,2,22
icml,icml,2005,1994,3,36
icml,icml,2005,1995,8,50
icml,icml,2005,1996,4,50
icml,icml,2005,1997,6,51
icml,icml,2005,1998,14,86
icml,icml,2005,1999,4,76
icml,icml,2005,2000,20,108
icml,icml,2005,2001,12,122
icml,icml,2005,2002,11,126
icml,icml,2005,2003,26,178
icml,icml,2005,2004,41,215
icml,icml,2006,1990,1,16
icml,icml,2006,1991,1,18
icml,icml,2006,1992,2,19
icml,icml,2006,1994,1,31
icml,icml,2006,1995,2,44
icml,icml,2006,1996,4,47
icml,icml,2006,1997,9,58
icml,icml,2006,1998,15,67
icml,icml,2006,1999,3,73
icml,icml,2006,2000,11,78
icml,icml,2006,2001,8,83
icml,icml,2006,2002,8,106
icml,icml,2006,2003,18,152
icml,icml,2006,2004,36,187
icml,icml,2006,2005,44,223
icml,icml,2007,1988,1,11
icml,icml,2007,1990,1,9
icml,icml,2007,1992,1,19
icml,icml,2007,1993,1,14
icml,icml,2007,1994,2,24
icml,icml,2007,1995,3,33
icml,icml,2007,1996,4,31
icml,icml,2007,1997,5,42
icml,icml,2007,1998,7,57
icml,icml,2007,1999,4,68
icml,icml,2007,2000,12,93
icml,icml,2007,2001,8,105
icml,icml,2007,2002,11,111
icml,icml,2007,2003,17,149
icml,icml,2007,2004,26,176
icml,icml,2007,2005,45,223
icml,icml,2007,2006,50,242
icml,icml,2008,1990,1,7
icml,icml,2008,1995,5,34
icml,icml,2008,1996,4,29
icml,icml,2008,1997,2,41
icml,icml,2008,1998,7,46
icml,icml,2008,1999,3,63
icml,icml,2008,2000,14,86
icml,icml,2008,2001,11,76
icml,icml,2008,2002,12,103
icml,icml,2008,2003,15,114
icml,icml,2008,2004,27,140
icml,icml,2008,2005,31,184
icml,icml,2008,2006,30,196
icml,icml,2008,2007,37,233
icml,icml,2009,1988,1,8
icml,icml,2009,1995,2,26
icml,icml,2009,1996,3,23
icml,icml,2009,1997,2,37
icml,icml,2009,1998,6,50
icml,icml,2009,1999,2,46
icml,icml,2009,2000,7,45
icml,icml,2009,2001,8,68
icml,icml,2009,2002,7,81
icml,icml,2009,2003,13,101
icml,icml,2009,2004,18,110
icml,icml,2009,2005,29,119
icml,icml,2009,2006,30,167
icml,icml,2009,2007,36,198
icml,icml,2009,2008,42,209
icml,icml,2010,1992,1,13
icml,icml,2010,1995,3,24
icml,icml,2010,1996,2,18
icml,icml,2010,1997,1,22
icml,icml,2010,1998,2,23
icml,icml,2010,1999,3,27
icml,icml,2010,2000,6,30
icml,icml,2010,2001,7,46
icml,icml,2010,2002,6,52
icml,icml,2010,2003,7,71
icml,icml,2010,2004,14,86
icml,icml,2010,2005,23,91
icml,icml,2010,2006,14,128
icml,icml,2010,2007,24,138
icml,icml,2010,2008,30,169
icml,icml,2010,2009,33,152
icml,icml,2011,1992,1,10
icml,icml,2011,1995,3,18
icml,icml,2011,1997,1,33
icml,icml,2011,1998,2,32
icml,icml,2011,1999,4,34
icml,icml,2011,2000,2,35
icml,icml,2011,2001,4,48
icml,icml,2011,2002,3,59
icml,icml,2011,2003,8,75
icml,icml,2011,2004,10,92
icml,icml,2011,2005,10,82
icml,icml,2011,2006,17,117
icml,icml,2011,2007,18,141
icml,icml,2011,2008,23,167
icml,icml,2011,2009,20,198
icml,icml,2011,2010,22,202
icml,icml,2012,1995,1,25
icml,icml,2012,1996,1,20
icml,icml,2012,1997,2,18
icml,icml,2012,1998,3,34
icml,icml,2012,1999,1,41
icml,icml,2012,2000,5,41
icml,icml,2012,2001,3,54
icml,icml,2012,2002,3,51
icml,icml,2012,2003,9,83
icml,icml,2012,2004,11,85
icml,icml,2012,2005,27,111
icml,icml,2012,2006,20,133
icml,icml,2012,2007,25,155
icml,icml,2012,2008,21,168
icml,icml,2012,2009,39,237
icml,icml,2012,2010,38,260
icml,icml,2012,2011,38,223
icml,icml,2013,1992,1,25
icml,icml,2013,1994,3,28
icml,icml,2013,1996,2,22
icml,icml,2013,1997,3,29
icml,icml,2013,1998,3,42
icml,icml,2013,1999,1,55
icml,icml,2013,2000,7,54
icml,icml,2013,2001,5,78
icml,icml,2013,2002,6,78
icml,icml,2013,2003,8,118
icml,icml,2013,2004,14,130
icml,icml,2013,2005,10,114
icml,icml,2013,2006,23,164
icml,icml,2013,2007,19,184
icml,icml,2013,2008,30,242
icml,icml,2013,2009,29,298
icml,icml,2013,2010,27,299
icml,icml,2013,2011,44,323
icml,icml,2013,2012,57,402
icml,icml,2014,1995,2,36
icml,icml,2014,1996,2,27
icml,icml,2014,1997,2,34
icml,icml,2014,1998,3,48
icml,icml,2014,1999,2,65
icml,icml,2014,2000,6,51
icml,icml,2014,2001,4,71
icml,icml,2014,2002,3,83
icml,icml,2014,2003,11,132
icml,icml,2014,2004,11,111
icml,icml,2014,2005,16,159
icml,icml,2014,2006,23,179
icml,icml,2014,2007,23,196
icml,icml,2014,2008,26,215
icml,icml,2014,2009,34,300
icml,icml,2014,2010,30,309
icml,icml,2014,2011,41,335
icml,icml,2014,2012,70,440
icml,icml,2014,2013,78,366
icml,icml,2015,1995,2,14
icml,icml,2015,1996,1,12
icml,icml,2015,1997,1,12
icml,icml,2015,1999,2,16
icml,icml,2015,2001,1,23
icml,icml,2015,2003,2,28
icml,icml,2015,2004,3,23
icml,icml,2015,2005,1,27
icml,icml,2015,2006,3,38
icml,icml,2015,2007,5,54
icml,icml,2015,2008,8,60
icml,icml,2015,2009,7,61
icml,icml,2015,2010,4,72
icml,icml,2015,2011,10,77
icml,icml,2015,2012,20,116
icml,icml,2015,2013,26,119
icml,icml,2015,2014,24,116
