from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icml,icpr,2003,2002,1,104
icml,icpr,2004,1996,1,35
icml,icpr,2004,1998,2,90
icml,icpr,2004,2002,4,150
icml,icpr,2005,2000,1,108
icml,icpr,2005,2004,2,215
icml,icpr,2006,1998,1,67
icml,icpr,2006,2002,1,106
icml,icpr,2007,2000,1,93
icml,icpr,2007,2002,1,111
icml,icpr,2007,2004,1,176
icml,icpr,2007,2006,2,242
icml,icpr,2008,1994,1,23
icml,icpr,2008,2002,1,103
icml,icpr,2008,2006,1,196
icml,icpr,2009,2004,1,110
icml,icpr,2009,2008,1,209
icml,icpr,2010,2008,1,169
icml,icpr,2011,2004,1,92
icml,icpr,2011,2010,1,202
icml,icpr,2013,1998,1,42
icml,icpr,2013,2004,1,130
icml,icpr,2013,2012,3,402
icml,icpr,2014,2004,1,111
icml,icpr,2014,2010,1,309
icml,icpr,2014,2012,2,440
