from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icml,ijcai,1987,1983,1,4
icml,ijcai,1988,1977,1,4
icml,ijcai,1988,1979,1,2
icml,ijcai,1988,1985,1,7
icml,ijcai,1989,1973,1,1
icml,ijcai,1989,1977,1,3
icml,ijcai,1989,1987,3,19
icml,ijcai,1990,1987,2,18
icml,ijcai,1990,1989,2,19
icml,ijcai,1991,1989,1,27
icml,ijcai,1992,1989,1,21
icml,ijcai,1992,1991,1,22
icml,ijcai,1993,1987,1,11
icml,ijcai,1993,1989,1,16
icml,ijcai,1993,1991,1,25
icml,ijcai,1994,1989,1,13
icml,ijcai,1994,1993,1,28
icml,ijcai,1995,1989,2,16
icml,ijcai,1996,1987,1,3
icml,ijcai,1996,1989,1,6
icml,ijcai,1996,1991,1,5
icml,ijcai,1996,1995,5,23
icml,ijcai,1997,1995,1,7
icml,ijcai,1998,1985,1,2
icml,ijcai,1998,1993,1,2
icml,ijcai,1998,1995,2,8
icml,ijcai,1999,1989,1,2
icml,ijcai,1999,1993,1,3
icml,ijcai,1999,1997,1,11
icml,ijcai,2000,1985,1,3
icml,ijcai,2000,1993,1,9
icml,ijcai,2000,1995,1,20
icml,ijcai,2000,1997,2,32
icml,ijcai,2001,1997,2,13
icml,ijcai,2001,1999,1,19
icml,ijcai,2002,1985,1,1
icml,ijcai,2002,1987,1,3
icml,ijcai,2002,1989,1,5
icml,ijcai,2002,1995,1,7
icml,ijcai,2002,1999,1,16
icml,ijcai,2002,2001,2,17
icml,ijcai,2003,1987,2,6
icml,ijcai,2003,1989,1,9
icml,ijcai,2003,1993,2,16
icml,ijcai,2003,1995,5,44
icml,ijcai,2003,1997,1,50
icml,ijcai,2003,1999,9,71
icml,ijcai,2003,2000,1,92
icml,ijcai,2003,2001,8,87
icml,ijcai,2004,1977,1,6
icml,ijcai,2004,1989,2,15
icml,ijcai,2004,1991,3,21
icml,ijcai,2004,1993,2,17
icml,ijcai,2004,1995,4,55
icml,ijcai,2004,1997,2,66
icml,ijcai,2004,1999,2,86
icml,ijcai,2004,2001,4,111
icml,ijcai,2004,2003,11,193
icml,ijcai,2005,1975,1,2
icml,ijcai,2005,1977,2,6
icml,ijcai,2005,1989,1,17
icml,ijcai,2005,1991,1,23
icml,ijcai,2005,1995,6,50
icml,ijcai,2005,1997,4,51
icml,ijcai,2005,1999,2,76
icml,ijcai,2005,2001,5,122
icml,ijcai,2005,2003,5,178
icml,ijcai,2006,1985,2,5
icml,ijcai,2006,1989,1,15
icml,ijcai,2006,1993,1,14
icml,ijcai,2006,1995,1,44
icml,ijcai,2006,1999,2,73
icml,ijcai,2006,2001,3,83
icml,ijcai,2006,2003,5,152
icml,ijcai,2006,2004,1,187
icml,ijcai,2006,2005,9,223
icml,ijcai,2007,1995,2,33
icml,ijcai,2007,1997,1,42
icml,ijcai,2007,1999,5,68
icml,ijcai,2007,2001,3,105
icml,ijcai,2007,2003,4,149
icml,ijcai,2007,2005,3,223
icml,ijcai,2008,1995,2,34
icml,ijcai,2008,1999,2,63
icml,ijcai,2008,2001,2,76
icml,ijcai,2008,2003,3,114
icml,ijcai,2008,2005,5,184
icml,ijcai,2008,2007,10,233
icml,ijcai,2009,1977,1,6
icml,ijcai,2009,1989,1,21
icml,ijcai,2009,1993,1,12
icml,ijcai,2009,1995,1,26
icml,ijcai,2009,1997,1,37
icml,ijcai,2009,1999,2,46
icml,ijcai,2009,2001,2,68
icml,ijcai,2009,2003,1,101
icml,ijcai,2009,2005,4,119
icml,ijcai,2009,2007,8,198
icml,ijcai,2010,1981,1,2
icml,ijcai,2010,1997,1,22
icml,ijcai,2010,1999,1,27
icml,ijcai,2010,2001,3,46
icml,ijcai,2010,2003,1,71
icml,ijcai,2010,2004,1,86
icml,ijcai,2010,2005,1,91
icml,ijcai,2010,2007,4,138
icml,ijcai,2010,2009,2,152
icml,ijcai,2011,1977,1,4
icml,ijcai,2011,1993,1,13
icml,ijcai,2011,1999,1,34
icml,ijcai,2011,2001,1,48
icml,ijcai,2011,2004,1,92
icml,ijcai,2011,2007,2,141
icml,ijcai,2011,2009,2,198
icml,ijcai,2012,1995,1,25
icml,ijcai,2012,1999,1,41
icml,ijcai,2012,2001,1,54
icml,ijcai,2012,2003,1,83
icml,ijcai,2012,2005,1,111
icml,ijcai,2012,2007,6,155
icml,ijcai,2012,2009,1,237
icml,ijcai,2012,2011,2,223
icml,ijcai,2013,1993,1,17
icml,ijcai,2013,1995,1,33
icml,ijcai,2013,1999,1,55
icml,ijcai,2013,2001,1,78
icml,ijcai,2013,2003,5,118
icml,ijcai,2013,2005,3,114
icml,ijcai,2013,2007,4,184
icml,ijcai,2013,2009,6,298
icml,ijcai,2013,2011,2,323
icml,ijcai,2014,1995,1,36
icml,ijcai,2014,1999,1,65
icml,ijcai,2014,2001,2,71
icml,ijcai,2014,2003,5,132
icml,ijcai,2014,2005,3,159
icml,ijcai,2014,2007,8,196
icml,ijcai,2014,2009,3,300
icml,ijcai,2014,2010,1,309
icml,ijcai,2014,2011,5,335
icml,ijcai,2014,2013,3,366
icml,ijcai,2015,1989,1,1
icml,ijcai,2015,2001,1,23
icml,ijcai,2015,2007,2,54
icml,ijcai,2015,2009,1,61
icml,ijcai,2015,2013,3,119
