from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icml,ilp,1993,1992,2,27
icml,ilp,1996,1992,1,14
icml,ilp,1996,1993,1,6
icml,ilp,2000,1998,2,34
icml,ilp,2002,2001,1,17
icml,ilp,2003,1996,1,37
icml,ilp,2003,1999,2,71
icml,ilp,2003,2000,2,92
icml,ilp,2003,2001,1,87
icml,ilp,2003,2002,1,104
icml,ilp,2004,1992,1,26
icml,ilp,2004,1994,1,36
icml,ilp,2004,1997,2,66
icml,ilp,2004,1998,1,90
icml,ilp,2004,1999,1,86
icml,ilp,2004,2002,1,150
icml,ilp,2004,2003,1,193
icml,ilp,2005,1997,1,51
icml,ilp,2005,2001,2,122
icml,ilp,2005,2003,1,178
icml,ilp,2006,2004,1,187
icml,ilp,2006,2005,1,223
icml,ilp,2007,1992,1,19
icml,ilp,2007,1994,1,24
icml,ilp,2007,2001,1,105
icml,ilp,2007,2005,1,223
icml,ilp,2008,1992,1,20
icml,ilp,2008,1997,1,41
icml,ilp,2008,2003,1,114
icml,ilp,2008,2007,1,233
icml,ilp,2009,2003,1,101
icml,ilp,2009,2006,1,167
icml,ilp,2009,2007,2,198
icml,ilp,2009,2008,1,209
icml,ilp,2010,2008,1,169
icml,ilp,2011,2002,1,59
icml,ilp,2011,2008,1,167
icml,ilp,2014,2008,1,215
icml,ilp,2015,2007,1,54
