from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icml,ml,1987,1986,2,5
icml,ml,1988,1986,8,15
icml,ml,1988,1987,4,8
icml,ml,1989,1986,7,20
icml,ml,1989,1987,3,19
icml,ml,1989,1988,8,27
icml,ml,1990,1986,4,9
icml,ml,1990,1987,4,18
icml,ml,1990,1988,5,19
icml,ml,1990,1989,6,19
icml,ml,1991,1986,5,14
icml,ml,1991,1987,2,23
icml,ml,1991,1988,3,27
icml,ml,1991,1989,4,27
icml,ml,1991,1990,5,29
icml,ml,1992,1986,5,12
icml,ml,1992,1987,4,14
icml,ml,1992,1988,6,14
icml,ml,1992,1989,7,21
icml,ml,1992,1990,10,26
icml,ml,1992,1991,6,22
icml,ml,1993,1986,3,7
icml,ml,1993,1987,2,11
icml,ml,1993,1988,3,10
icml,ml,1993,1989,5,16
icml,ml,1993,1990,7,28
icml,ml,1993,1991,4,25
icml,ml,1993,1992,7,27
icml,ml,1994,1986,3,5
icml,ml,1994,1987,3,9
icml,ml,1994,1988,3,12
icml,ml,1994,1989,3,13
icml,ml,1994,1990,4,18
icml,ml,1994,1991,3,15
icml,ml,1994,1992,6,31
icml,ml,1994,1993,13,28
icml,ml,1995,1986,2,8
icml,ml,1995,1987,2,8
icml,ml,1995,1988,5,12
icml,ml,1995,1989,4,16
icml,ml,1995,1990,5,21
icml,ml,1995,1991,4,20
icml,ml,1995,1992,8,33
icml,ml,1995,1993,12,31
icml,ml,1995,1994,3,36
icml,ml,1996,1990,1,11
icml,ml,1996,1992,2,14
icml,ml,1996,1993,1,6
icml,ml,1996,1994,1,17
icml,ml,1997,1987,1,1
icml,ml,1997,1991,2,4
icml,ml,1997,1992,1,6
icml,ml,1997,1993,2,2
icml,ml,1998,1986,1,2
icml,ml,1998,1987,1,1
icml,ml,1998,1988,1,3
icml,ml,1998,1992,2,4
icml,ml,1998,1994,1,8
icml,ml,1998,1996,1,6
icml,ml,1999,1987,1,1
icml,ml,1999,1990,1,2
icml,ml,1999,1992,1,3
icml,ml,1999,1993,1,3
icml,ml,1999,1994,1,5
icml,ml,1999,1996,1,4
icml,ml,1999,1997,1,11
icml,ml,2000,1989,1,3
icml,ml,2000,1992,3,15
icml,ml,2000,1993,2,9
icml,ml,2000,1994,1,15
icml,ml,2000,1996,1,15
icml,ml,2000,1997,4,32
icml,ml,2000,1998,1,34
icml,ml,2000,1999,4,26
icml,ml,2001,1987,2,2
icml,ml,2001,1989,2,2
icml,ml,2001,1992,1,4
icml,ml,2001,1993,1,4
icml,ml,2001,1995,1,10
icml,ml,2001,1997,1,13
icml,ml,2001,1998,1,17
icml,ml,2001,1999,3,19
icml,ml,2001,2000,2,23
icml,ml,2002,1986,1,1
icml,ml,2002,1987,1,3
icml,ml,2002,1990,1,2
icml,ml,2002,1992,2,4
icml,ml,2002,1996,2,12
icml,ml,2002,2000,1,26
icml,ml,2002,2001,1,17
icml,ml,2003,1986,2,5
icml,ml,2003,1988,2,9
icml,ml,2003,1989,2,9
icml,ml,2003,1990,3,16
icml,ml,2003,1991,4,9
icml,ml,2003,1992,3,21
icml,ml,2003,1994,4,34
icml,ml,2003,1995,3,44
icml,ml,2003,1996,1,37
icml,ml,2003,1997,6,50
icml,ml,2003,1999,4,71
icml,ml,2003,2000,5,92
icml,ml,2003,2001,7,87
icml,ml,2003,2002,9,104
icml,ml,2004,1986,2,3
icml,ml,2004,1988,2,7
icml,ml,2004,1990,3,14
icml,ml,2004,1991,2,21
icml,ml,2004,1992,3,26
icml,ml,2004,1993,3,17
icml,ml,2004,1995,2,55
icml,ml,2004,1996,2,35
icml,ml,2004,1997,6,66
icml,ml,2004,1998,3,90
icml,ml,2004,1999,2,86
icml,ml,2004,2000,6,118
icml,ml,2004,2001,3,111
icml,ml,2004,2002,10,150
icml,ml,2004,2003,6,193
icml,ml,2005,1986,2,7
icml,ml,2005,1987,1,6
icml,ml,2005,1988,2,9
icml,ml,2005,1990,1,11
icml,ml,2005,1991,3,23
icml,ml,2005,1992,3,25
icml,ml,2005,1994,3,36
icml,ml,2005,1995,3,50
