from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icml,nips,1991,1990,6,29
icml,nips,1992,1989,1,21
icml,nips,1992,1990,3,26
icml,nips,1993,1989,1,16
icml,nips,1993,1990,4,28
icml,nips,1993,1992,5,27
icml,nips,1994,1990,5,18
icml,nips,1994,1992,10,31
icml,nips,1995,1990,1,21
icml,nips,1995,1992,9,33
icml,nips,1995,1993,1,31
icml,nips,1995,1994,5,36
icml,nips,1996,1992,4,14
icml,nips,1996,1995,4,23
icml,nips,1997,1992,2,6
icml,nips,1997,1995,1,7
icml,nips,1997,1996,1,3
icml,nips,1998,1992,1,4
icml,nips,1998,1997,2,4
icml,nips,1999,1990,1,2
icml,nips,2000,1990,1,7
icml,nips,2000,1993,1,9
icml,nips,2000,1994,3,15
icml,nips,2000,1995,1,20
icml,nips,2000,1996,1,15
icml,nips,2000,1998,3,34
icml,nips,2000,1999,4,26
icml,nips,2001,1990,1,1
icml,nips,2001,1995,2,10
icml,nips,2001,1996,3,15
icml,nips,2001,1998,2,17
icml,nips,2001,1999,3,19
icml,nips,2001,2000,4,23
icml,nips,2002,1991,1,2
icml,nips,2002,1995,2,7
icml,nips,2002,1996,1,12
icml,nips,2002,1997,1,9
icml,nips,2002,1998,2,17
icml,nips,2002,1999,2,16
icml,nips,2002,2000,3,26
icml,nips,2002,2001,1,17
icml,nips,2003,1989,1,9
icml,nips,2003,1990,2,16
icml,nips,2003,1992,2,21
icml,nips,2003,1994,1,34
icml,nips,2003,1995,3,44
icml,nips,2003,1996,5,37
icml,nips,2003,1997,2,50
icml,nips,2003,1998,6,64
icml,nips,2003,1999,10,71
icml,nips,2003,2000,9,92
icml,nips,2003,2001,12,87
icml,nips,2003,2002,14,104
icml,nips,2004,1989,2,15
icml,nips,2004,1990,1,14
icml,nips,2004,1992,2,26
icml,nips,2004,1995,6,55
icml,nips,2004,1996,2,35
icml,nips,2004,1997,2,66
icml,nips,2004,1998,9,90
icml,nips,2004,1999,10,86
icml,nips,2004,2000,8,118
icml,nips,2004,2001,20,111
icml,nips,2004,2002,22,150
icml,nips,2004,2003,31,193
icml,nips,2005,1988,1,9
icml,nips,2005,1989,1,17
icml,nips,2005,1992,1,25
icml,nips,2005,1995,5,50
icml,nips,2005,1996,7,50
icml,nips,2005,1997,4,51
icml,nips,2005,1998,8,86
icml,nips,2005,1999,9,76
icml,nips,2005,2000,8,108
icml,nips,2005,2001,12,122
icml,nips,2005,2002,12,126
icml,nips,2005,2003,30,178
icml,nips,2005,2004,23,215
icml,nips,2006,1989,1,15
icml,nips,2006,1994,2,31
icml,nips,2006,1995,4,44
icml,nips,2006,1996,7,47
icml,nips,2006,1997,4,58
icml,nips,2006,1998,3,67
icml,nips,2006,1999,7,73
icml,nips,2006,2000,11,78
icml,nips,2006,2001,13,83
icml,nips,2006,2002,12,106
icml,nips,2006,2003,24,152
icml,nips,2006,2004,26,187
icml,nips,2006,2005,22,223
icml,nips,2007,1990,1,9
icml,nips,2007,1992,3,19
icml,nips,2007,1993,1,14
icml,nips,2007,1995,2,33
icml,nips,2007,1996,3,31
icml,nips,2007,1997,2,42
icml,nips,2007,1998,6,57
icml,nips,2007,1999,8,68
icml,nips,2007,2000,5,93
icml,nips,2007,2001,22,105
icml,nips,2007,2002,16,111
icml,nips,2007,2003,28,149
icml,nips,2007,2004,15,176
icml,nips,2007,2005,25,223
icml,nips,2007,2006,25,242
icml,nips,2008,1990,1,7
icml,nips,2008,1992,1,20
icml,nips,2008,1993,1,20
icml,nips,2008,1994,2,23
icml,nips,2008,1995,3,34
icml,nips,2008,1996,4,29
icml,nips,2008,1997,3,41
icml,nips,2008,1998,3,46
icml,nips,2008,1999,4,63
icml,nips,2008,2000,8,86
icml,nips,2008,2001,13,76
icml,nips,2008,2002,14,103
icml,nips,2008,2003,24,114
icml,nips,2008,2004,16,140
icml,nips,2008,2005,21,184
icml,nips,2008,2006,24,196
icml,nips,2008,2007,44,233
icml,nips,2009,1989,1,21
icml,nips,2009,1990,2,7
icml,nips,2009,1991,1,10
icml,nips,2009,1994,1,18
icml,nips,2009,1995,3,26
icml,nips,2009,1996,2,23
icml,nips,2009,1997,3,37
icml,nips,2009,1998,7,50
icml,nips,2009,1999,7,46
icml,nips,2009,2000,4,45
icml,nips,2009,2001,12,68
icml,nips,2009,2002,14,81
icml,nips,2009,2003,18,101
icml,nips,2009,2004,14,110
icml,nips,2009,2005,14,119
icml,nips,2009,2006,22,167
icml,nips,2009,2007,39,198
icml,nips,2009,2008,38,209
icml,nips,2010,1990,2,6
icml,nips,2010,1991,1,3
