from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iconip,aaai,2002,1998,1,29
iconip,aaai,2004,2002,1,101
iconip,aaai,2006,1983,1,8
iconip,aaai,2007,1996,1,32
iconip,aaai,2007,1997,1,62
iconip,aaai,2008,2005,1,153
iconip,aaai,2008,2006,1,154
iconip,aaai,2009,1990,1,27
iconip,aaai,2009,2005,1,125
iconip,aaai,2009,2006,1,170
iconip,aaai,2009,2008,1,168
iconip,aaai,2010,1998,2,35
iconip,aaai,2010,2004,1,91
iconip,aaai,2010,2005,1,102
iconip,aaai,2011,1992,1,21
iconip,aaai,2011,1998,1,46
iconip,aaai,2011,2005,2,128
iconip,aaai,2011,2008,1,195
iconip,aaai,2012,1998,2,61
iconip,aaai,2012,2005,1,197
iconip,aaai,2012,2006,2,232
iconip,aaai,2012,2007,2,246
iconip,aaai,2012,2008,1,247
iconip,aaai,2012,2011,1,281
iconip,aaai,2013,1986,1,8
iconip,aaai,2013,1992,1,11
iconip,aaai,2013,2008,1,129
iconip,aaai,2014,2000,1,47
iconip,aaai,2014,2010,2,140
iconip,aaai,2014,2011,1,128
iconip,aaai,2014,2012,2,159
iconip,aaai,2014,2013,1,160
