from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iconip,acl,2002,1989,1,12
iconip,acl,2006,1991,1,39
iconip,acl,2007,2004,1,109
iconip,acl,2009,1994,1,42
iconip,acl,2009,2002,1,109
iconip,acl,2009,2004,1,138
iconip,acl,2010,1990,1,13
iconip,acl,2010,1992,1,18
iconip,acl,2010,2007,1,91
iconip,acl,2011,2005,1,128
iconip,acl,2011,2007,1,181
iconip,acl,2011,2009,1,193
iconip,acl,2011,2010,1,193
iconip,acl,2012,2000,1,115
iconip,acl,2012,2002,1,134
iconip,acl,2012,2003,1,148
iconip,acl,2012,2004,1,164
iconip,acl,2012,2005,1,197
iconip,acl,2012,2009,1,258
iconip,acl,2012,2010,3,269
iconip,acl,2013,2004,1,90
iconip,acl,2013,2005,1,85
iconip,acl,2013,2007,1,115
iconip,acl,2013,2009,1,142
iconip,acl,2013,2010,1,150
iconip,acl,2014,2002,1,59
iconip,acl,2014,2005,1,78
iconip,acl,2014,2006,1,93
iconip,acl,2014,2008,1,120
iconip,acl,2014,2009,3,116
iconip,acl,2014,2010,1,140
iconip,acl,2014,2012,1,159
iconip,acl,2014,2013,2,160
