from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iconip,bmvc,2007,1998,1,62
iconip,bmvc,2007,2002,1,82
iconip,bmvc,2008,1998,1,71
iconip,bmvc,2009,1998,1,64
iconip,bmvc,2009,2006,1,170
iconip,bmvc,2010,2008,1,134
iconip,bmvc,2010,2009,1,130
iconip,bmvc,2011,2009,1,193
iconip,bmvc,2011,2010,1,193
iconip,bmvc,2012,2006,1,232
iconip,bmvc,2012,2007,1,246
iconip,bmvc,2012,2011,1,281
iconip,bmvc,2013,1995,1,18
iconip,bmvc,2013,2007,1,115
iconip,bmvc,2013,2008,1,129
iconip,bmvc,2013,2009,2,142
iconip,bmvc,2013,2011,1,157
iconip,bmvc,2013,2012,1,183
iconip,bmvc,2014,2006,1,93
iconip,bmvc,2014,2009,1,116
iconip,bmvc,2014,2010,1,140
