from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iconip,connection,1998,1995,1,6
iconip,connection,2004,1996,1,49
iconip,connection,2006,1996,1,87
iconip,connection,2006,2000,1,160
iconip,connection,2006,2003,1,194
iconip,connection,2007,1999,1,60
iconip,connection,2007,2000,1,70
iconip,connection,2008,2000,1,118
iconip,connection,2008,2006,1,154
iconip,connection,2008,2007,1,141
iconip,connection,2009,1990,1,27
iconip,connection,2009,1999,2,76
iconip,connection,2009,2000,1,63
iconip,connection,2011,1996,1,38
iconip,connection,2011,2010,2,193
iconip,connection,2012,2010,1,269
iconip,connection,2014,1989,1,16
iconip,connection,2014,2007,1,96
