from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iconip,emnlp,2008,2005,1,153
iconip,emnlp,2009,2002,1,109
iconip,emnlp,2009,2007,1,162
iconip,emnlp,2010,2003,1,73
iconip,emnlp,2011,2006,1,166
iconip,emnlp,2011,2008,1,195
iconip,emnlp,2012,2004,1,164
iconip,emnlp,2012,2005,1,197
iconip,emnlp,2012,2007,1,246
iconip,emnlp,2012,2008,1,247
iconip,emnlp,2012,2011,2,281
iconip,emnlp,2013,2004,1,90
iconip,emnlp,2013,2006,1,107
iconip,emnlp,2013,2010,2,150
iconip,emnlp,2014,2002,1,59
iconip,emnlp,2014,2004,1,73
iconip,emnlp,2014,2006,1,93
iconip,emnlp,2014,2008,2,120
iconip,emnlp,2014,2010,1,140
iconip,emnlp,2014,2013,3,160
