from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iconip,gecco,2004,2001,1,64
iconip,gecco,2004,2002,1,101
iconip,gecco,2004,2003,1,104
iconip,gecco,2006,2004,1,222
iconip,gecco,2008,2004,1,140
iconip,gecco,2008,2006,1,154
iconip,gecco,2008,2007,4,141
iconip,gecco,2009,2004,1,138
iconip,gecco,2009,2005,1,125
iconip,gecco,2010,2006,2,105
iconip,gecco,2010,2008,1,134
iconip,gecco,2011,2001,1,73
iconip,gecco,2011,2002,1,101
iconip,gecco,2011,2006,1,166
iconip,gecco,2011,2007,1,181
iconip,gecco,2011,2008,1,195
iconip,gecco,2012,1987,1,6
iconip,gecco,2012,2003,1,148
iconip,gecco,2012,2009,1,258
iconip,gecco,2013,2007,1,115
iconip,gecco,2014,1999,2,32
iconip,gecco,2014,2007,1,96
iconip,gecco,2014,2010,1,140
