from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iconip,icdar,1994,1993,1,4
iconip,icdar,2004,1999,1,72
iconip,icdar,2004,2003,1,104
iconip,icdar,2006,2003,1,194
iconip,icdar,2006,2005,3,241
iconip,icdar,2007,2003,1,98
iconip,icdar,2009,2005,1,125
iconip,icdar,2011,2003,1,97
iconip,icdar,2011,2009,1,193
iconip,icdar,2012,1999,1,99
iconip,icdar,2012,2001,3,95
iconip,icdar,2012,2007,3,246
iconip,icdar,2012,2009,1,258
iconip,icdar,2012,2011,2,281
iconip,icdar,2014,2011,1,128
