from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iconip,icml,2002,1999,1,35
iconip,icml,2002,2000,1,29
iconip,icml,2004,1996,1,49
iconip,icml,2004,1997,2,63
iconip,icml,2004,1998,3,58
iconip,icml,2004,2000,2,74
iconip,icml,2004,2001,1,64
iconip,icml,2004,2002,1,101
iconip,icml,2004,2003,1,104
iconip,icml,2005,1996,1,1
iconip,icml,2006,1995,2,71
iconip,icml,2006,1996,2,87
iconip,icml,2006,1997,3,93
iconip,icml,2006,1998,2,140
iconip,icml,2006,2000,2,160
iconip,icml,2006,2001,2,172
iconip,icml,2006,2002,1,198
iconip,icml,2006,2003,2,194
iconip,icml,2006,2004,2,222
iconip,icml,2007,1996,1,32
iconip,icml,2007,1998,1,62
iconip,icml,2007,2001,1,80
iconip,icml,2007,2002,1,82
iconip,icml,2007,2003,1,98
iconip,icml,2007,2004,2,109
iconip,icml,2007,2005,1,131
iconip,icml,2008,1994,1,28
iconip,icml,2008,1995,2,43
iconip,icml,2008,1996,1,51
iconip,icml,2008,1997,1,48
iconip,icml,2008,2000,3,118
iconip,icml,2008,2001,3,102
iconip,icml,2008,2002,1,110
iconip,icml,2008,2003,2,112
iconip,icml,2008,2004,3,140
iconip,icml,2008,2005,2,153
iconip,icml,2008,2006,1,154
iconip,icml,2008,2007,1,141
iconip,icml,2009,1994,1,42
iconip,icml,2009,1995,3,31
iconip,icml,2009,1996,1,45
iconip,icml,2009,1997,2,50
iconip,icml,2009,1999,1,76
iconip,icml,2009,2000,1,63
iconip,icml,2009,2005,2,125
iconip,icml,2009,2006,3,170
iconip,icml,2009,2007,2,162
iconip,icml,2010,1995,1,32
iconip,icml,2010,1996,2,27
iconip,icml,2010,1997,1,20
iconip,icml,2010,2001,2,59
iconip,icml,2010,2002,1,71
iconip,icml,2010,2003,1,73
iconip,icml,2010,2005,1,102
iconip,icml,2010,2007,3,91
iconip,icml,2010,2008,2,134
iconip,icml,2011,1992,1,21
iconip,icml,2011,1996,3,38
iconip,icml,2011,1997,2,37
iconip,icml,2011,2000,3,75
iconip,icml,2011,2004,2,133
iconip,icml,2011,2005,2,128
iconip,icml,2011,2006,3,166
iconip,icml,2011,2007,2,181
iconip,icml,2011,2008,4,195
iconip,icml,2011,2009,3,193
iconip,icml,2011,2010,3,193
iconip,icml,2012,1991,1,21
iconip,icml,2012,1994,1,41
iconip,icml,2012,1995,3,43
iconip,icml,2012,1996,1,56
iconip,icml,2012,1997,4,60
iconip,icml,2012,1999,1,99
iconip,icml,2012,2000,3,115
iconip,icml,2012,2001,1,95
iconip,icml,2012,2002,2,134
iconip,icml,2012,2003,1,148
iconip,icml,2012,2004,3,164
iconip,icml,2012,2005,7,197
iconip,icml,2012,2006,3,232
iconip,icml,2012,2007,3,246
iconip,icml,2012,2008,5,247
iconip,icml,2012,2009,3,258
iconip,icml,2012,2010,3,269
iconip,icml,2012,2011,3,281
iconip,icml,2013,1996,2,19
iconip,icml,2013,1998,1,36
iconip,icml,2013,2000,2,46
iconip,icml,2013,2001,2,45
iconip,icml,2013,2002,2,51
iconip,icml,2013,2003,1,81
iconip,icml,2013,2004,4,90
iconip,icml,2013,2005,2,85
iconip,icml,2013,2006,2,107
iconip,icml,2013,2007,5,115
iconip,icml,2013,2008,6,129
iconip,icml,2013,2009,2,142
iconip,icml,2013,2010,5,150
iconip,icml,2013,2011,9,157
iconip,icml,2013,2012,1,183
iconip,icml,2014,1992,1,13
iconip,icml,2014,1994,1,18
iconip,icml,2014,1995,2,25
iconip,icml,2014,1996,1,21
iconip,icml,2014,1997,1,22
iconip,icml,2014,1998,2,32
iconip,icml,2014,1999,1,32
iconip,icml,2014,2000,3,47
iconip,icml,2014,2002,1,59
iconip,icml,2014,2003,3,78
iconip,icml,2014,2004,2,73
iconip,icml,2014,2005,4,78
iconip,icml,2014,2006,3,93
iconip,icml,2014,2008,5,120
iconip,icml,2014,2009,3,116
iconip,icml,2014,2010,5,140
iconip,icml,2014,2011,2,128
iconip,icml,2014,2012,1,159
iconip,icml,2014,2013,2,160
