from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iconip,iconip,2000,1998,2,5
iconip,iconip,2001,1998,1,3
iconip,iconip,2001,2000,1,3
iconip,iconip,2002,1999,1,35
iconip,iconip,2002,2001,2,33
iconip,iconip,2004,2002,4,101
iconip,iconip,2004,2003,1,104
iconip,iconip,2006,1998,2,140
iconip,iconip,2006,1999,1,132
iconip,iconip,2006,2002,5,198
iconip,iconip,2006,2004,7,222
iconip,iconip,2007,2002,1,82
iconip,iconip,2007,2006,3,125
iconip,iconip,2008,1998,1,71
iconip,iconip,2008,1999,1,80
iconip,iconip,2008,2002,2,110
iconip,iconip,2008,2004,4,140
iconip,iconip,2008,2006,11,154
iconip,iconip,2008,2007,6,141
iconip,iconip,2009,1994,1,42
iconip,iconip,2009,2001,1,82
iconip,iconip,2009,2002,1,109
iconip,iconip,2009,2004,1,138
iconip,iconip,2009,2006,4,170
iconip,iconip,2009,2007,6,162
iconip,iconip,2009,2008,9,168
iconip,iconip,2010,1992,1,18
iconip,iconip,2010,2002,2,71
iconip,iconip,2010,2006,3,105
iconip,iconip,2010,2007,3,91
iconip,iconip,2010,2008,10,134
iconip,iconip,2010,2009,12,130
iconip,iconip,2011,2002,1,101
iconip,iconip,2011,2004,1,133
iconip,iconip,2011,2006,3,166
iconip,iconip,2011,2007,1,181
iconip,iconip,2011,2008,6,195
iconip,iconip,2011,2009,8,193
iconip,iconip,2011,2010,14,193
iconip,iconip,2012,2006,2,232
iconip,iconip,2012,2007,1,246
iconip,iconip,2012,2008,3,247
iconip,iconip,2012,2009,4,258
iconip,iconip,2012,2010,5,269
iconip,iconip,2012,2011,7,281
iconip,iconip,2013,1998,1,36
iconip,iconip,2013,1999,1,41
iconip,iconip,2013,2006,1,107
iconip,iconip,2013,2007,1,115
iconip,iconip,2013,2008,1,129
iconip,iconip,2013,2009,2,142
iconip,iconip,2013,2010,3,150
iconip,iconip,2013,2011,8,157
iconip,iconip,2013,2012,20,183
iconip,iconip,2014,2006,1,93
iconip,iconip,2014,2007,1,96
iconip,iconip,2014,2009,2,116
iconip,iconip,2014,2010,3,140
iconip,iconip,2014,2011,7,128
iconip,iconip,2014,2012,13,159
iconip,iconip,2014,2013,13,160
