from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iconip,icpr,2003,2002,1,4
iconip,icpr,2004,1998,1,58
iconip,icpr,2004,2000,1,74
iconip,icpr,2004,2002,3,101
iconip,icpr,2006,1996,4,87
iconip,icpr,2006,1998,1,140
iconip,icpr,2006,2000,3,160
iconip,icpr,2006,2002,5,198
iconip,icpr,2006,2004,2,222
iconip,icpr,2006,2005,1,241
iconip,icpr,2007,1998,1,62
iconip,icpr,2007,2000,1,70
iconip,icpr,2007,2002,1,82
iconip,icpr,2007,2004,3,109
iconip,icpr,2007,2006,2,125
iconip,icpr,2008,1988,1,13
iconip,icpr,2008,1996,1,51
iconip,icpr,2008,2004,2,140
iconip,icpr,2008,2005,1,153
iconip,icpr,2008,2006,1,154
iconip,icpr,2009,1994,1,42
iconip,icpr,2009,2002,2,109
iconip,icpr,2009,2004,1,138
iconip,icpr,2009,2006,3,170
iconip,icpr,2009,2008,3,168
iconip,icpr,2010,1994,1,20
iconip,icpr,2010,1998,1,35
iconip,icpr,2010,2002,1,71
iconip,icpr,2010,2004,2,91
iconip,icpr,2010,2006,2,105
iconip,icpr,2010,2008,3,134
iconip,icpr,2011,1994,1,34
iconip,icpr,2011,1998,1,46
iconip,icpr,2011,2000,1,75
iconip,icpr,2011,2002,1,101
iconip,icpr,2011,2004,5,133
iconip,icpr,2011,2005,1,128
iconip,icpr,2011,2006,4,166
iconip,icpr,2011,2010,1,193
iconip,icpr,2012,1998,1,61
iconip,icpr,2012,2002,4,134
iconip,icpr,2012,2004,3,164
iconip,icpr,2012,2006,1,232
iconip,icpr,2012,2008,4,247
iconip,icpr,2012,2010,2,269
iconip,icpr,2013,1988,1,10
iconip,icpr,2013,1992,1,11
iconip,icpr,2013,2000,3,46
iconip,icpr,2013,2004,2,90
iconip,icpr,2013,2006,1,107
iconip,icpr,2013,2010,2,150
iconip,icpr,2013,2012,2,183
iconip,icpr,2014,2004,1,73
iconip,icpr,2014,2008,3,120
iconip,icpr,2014,2010,1,140
