from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iconip,icra,1996,1995,1,2
iconip,icra,2002,1999,1,35
iconip,icra,2004,1992,1,26
iconip,icra,2006,1990,1,46
iconip,icra,2006,1991,1,39
iconip,icra,2006,1993,1,63
iconip,icra,2006,1994,1,71
iconip,icra,2006,1996,1,87
iconip,icra,2006,2000,2,160
iconip,icra,2006,2001,2,172
iconip,icra,2006,2002,1,198
iconip,icra,2006,2003,1,194
iconip,icra,2006,2004,1,222
iconip,icra,2006,2005,1,241
iconip,icra,2007,1995,1,36
iconip,icra,2007,1996,1,32
iconip,icra,2007,1997,1,62
iconip,icra,2007,1998,1,62
iconip,icra,2007,2000,1,70
iconip,icra,2007,2001,1,80
iconip,icra,2007,2003,1,98
iconip,icra,2007,2006,1,125
iconip,icra,2008,1992,1,35
iconip,icra,2008,1994,1,28
iconip,icra,2008,1998,1,71
iconip,icra,2008,1999,1,80
iconip,icra,2008,2000,1,118
iconip,icra,2008,2001,1,102
iconip,icra,2008,2003,2,112
iconip,icra,2008,2004,5,140
iconip,icra,2008,2005,1,153
iconip,icra,2008,2006,1,154
iconip,icra,2008,2007,1,141
iconip,icra,2009,1996,1,45
iconip,icra,2009,2002,2,109
iconip,icra,2009,2003,1,110
iconip,icra,2009,2005,1,125
iconip,icra,2009,2008,2,168
iconip,icra,2010,2002,1,71
iconip,icra,2010,2003,1,73
iconip,icra,2010,2004,1,91
iconip,icra,2010,2007,1,91
iconip,icra,2010,2009,2,130
iconip,icra,2011,2003,1,97
iconip,icra,2012,2003,1,148
iconip,icra,2012,2004,1,164
iconip,icra,2012,2005,1,197
iconip,icra,2012,2009,1,258
iconip,icra,2013,2003,1,81
iconip,icra,2013,2007,2,115
iconip,icra,2013,2009,2,142
iconip,icra,2013,2010,3,150
iconip,icra,2013,2011,3,157
iconip,icra,2013,2012,3,183
iconip,icra,2014,1991,1,10
iconip,icra,2014,2011,1,128
iconip,icra,2014,2013,1,160
