from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iconip,ijcai,1998,1995,1,6
iconip,ijcai,2002,1989,1,12
iconip,ijcai,2004,1993,1,31
iconip,ijcai,2004,1997,1,63
iconip,ijcai,2004,1999,1,72
iconip,ijcai,2006,1991,1,39
iconip,ijcai,2006,2001,1,172
iconip,ijcai,2006,2003,1,194
iconip,ijcai,2007,1981,1,5
iconip,ijcai,2007,1993,1,27
iconip,ijcai,2007,2001,1,80
iconip,ijcai,2008,1989,1,19
iconip,ijcai,2008,2007,1,141
iconip,ijcai,2009,1981,1,3
iconip,ijcai,2009,1995,1,31
iconip,ijcai,2009,1999,2,76
iconip,ijcai,2009,2003,1,110
iconip,ijcai,2009,2007,2,162
iconip,ijcai,2010,1991,1,9
iconip,ijcai,2010,1993,1,25
iconip,ijcai,2010,1995,1,32
iconip,ijcai,2010,1999,1,46
iconip,ijcai,2010,2007,1,91
iconip,ijcai,2011,1989,1,11
iconip,ijcai,2011,1991,1,18
iconip,ijcai,2011,1995,2,36
iconip,ijcai,2011,1999,1,53
iconip,ijcai,2011,2007,3,181
iconip,ijcai,2011,2009,1,193
iconip,ijcai,2012,1981,2,12
iconip,ijcai,2012,1993,1,25
iconip,ijcai,2012,1995,1,43
iconip,ijcai,2012,1997,1,60
iconip,ijcai,2012,1999,1,99
iconip,ijcai,2012,2003,2,148
iconip,ijcai,2012,2007,2,246
iconip,ijcai,2012,2009,1,258
iconip,ijcai,2012,2011,3,281
iconip,ijcai,2013,1981,1,6
iconip,ijcai,2013,1993,1,13
iconip,ijcai,2013,1995,1,18
iconip,ijcai,2013,2007,1,115
iconip,ijcai,2014,1981,1,2
iconip,ijcai,2014,1989,1,16
iconip,ijcai,2014,2003,1,78
iconip,ijcai,2014,2007,2,96
iconip,ijcai,2014,2008,2,120
iconip,ijcai,2014,2009,2,116
iconip,ijcai,2014,2011,2,128
