from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
iconip,nips,1992,1990,2,2
iconip,nips,1994,1990,1,7
iconip,nips,1996,1992,1,3
iconip,nips,1998,1989,1,5
iconip,nips,1998,1990,2,4
iconip,nips,1998,1997,1,8
iconip,nips,2001,1995,1,1
iconip,nips,2001,1996,1,3
iconip,nips,2002,1994,1,19
iconip,nips,2002,1995,1,25
iconip,nips,2002,1996,1,17
iconip,nips,2002,2000,1,29
iconip,nips,2003,2002,1,4
iconip,nips,2004,1990,3,21
iconip,nips,2004,1994,1,32
iconip,nips,2004,1995,4,37
iconip,nips,2004,1996,1,49
iconip,nips,2004,1997,2,63
iconip,nips,2004,1998,1,58
iconip,nips,2004,1999,3,72
iconip,nips,2004,2000,2,74
iconip,nips,2004,2001,1,64
iconip,nips,2004,2002,1,101
iconip,nips,2004,2003,3,104
iconip,nips,2005,1998,1,2
iconip,nips,2006,1990,2,46
iconip,nips,2006,1992,3,58
iconip,nips,2006,1995,2,71
iconip,nips,2006,1996,4,87
iconip,nips,2006,1997,1,93
iconip,nips,2006,1998,1,140
iconip,nips,2006,2000,3,160
iconip,nips,2006,2001,7,172
iconip,nips,2006,2002,6,198
iconip,nips,2006,2003,9,194
iconip,nips,2006,2004,1,222
iconip,nips,2006,2005,1,241
iconip,nips,2007,1990,4,23
iconip,nips,2007,1992,1,28
iconip,nips,2007,1994,3,30
iconip,nips,2007,1995,4,36
iconip,nips,2007,1997,3,62
iconip,nips,2007,1998,3,62
iconip,nips,2007,1999,1,60
iconip,nips,2007,2000,1,70
iconip,nips,2007,2001,5,80
iconip,nips,2007,2002,2,82
iconip,nips,2007,2003,1,98
iconip,nips,2007,2004,3,109
iconip,nips,2007,2005,2,131
iconip,nips,2007,2006,2,125
iconip,nips,2008,1990,2,27
iconip,nips,2008,1993,1,35
iconip,nips,2008,1994,1,28
iconip,nips,2008,1995,2,43
iconip,nips,2008,1996,2,51
iconip,nips,2008,1997,1,48
iconip,nips,2008,1998,2,71
iconip,nips,2008,1999,4,80
iconip,nips,2008,2000,5,118
iconip,nips,2008,2001,3,102
iconip,nips,2008,2002,3,110
iconip,nips,2008,2003,2,112
iconip,nips,2008,2004,1,140
iconip,nips,2008,2005,4,153
iconip,nips,2008,2007,3,141
iconip,nips,2009,1990,5,27
iconip,nips,2009,1992,2,24
iconip,nips,2009,1994,2,42
iconip,nips,2009,1995,3,31
iconip,nips,2009,1996,3,45
iconip,nips,2009,1997,1,50
iconip,nips,2009,1999,1,76
iconip,nips,2009,2000,1,63
iconip,nips,2009,2001,3,82
iconip,nips,2009,2002,1,109
iconip,nips,2009,2003,1,110
iconip,nips,2009,2004,4,138
iconip,nips,2009,2005,4,125
iconip,nips,2009,2006,2,170
iconip,nips,2009,2007,1,162
iconip,nips,2009,2008,2,168
iconip,nips,2010,1995,2,32
iconip,nips,2010,1996,1,27
iconip,nips,2010,1999,2,46
iconip,nips,2010,2001,2,59
iconip,nips,2010,2002,1,71
iconip,nips,2010,2003,5,73
iconip,nips,2010,2004,3,91
iconip,nips,2010,2005,3,102
iconip,nips,2010,2006,4,105
iconip,nips,2010,2007,2,91
iconip,nips,2010,2008,4,134
iconip,nips,2010,2009,4,130
iconip,nips,2011,1990,1,17
iconip,nips,2011,1992,2,21
iconip,nips,2011,1994,1,34
iconip,nips,2011,1995,4,36
iconip,nips,2011,1996,3,38
iconip,nips,2011,1997,2,37
iconip,nips,2011,1998,1,46
iconip,nips,2011,1999,1,53
iconip,nips,2011,2000,3,75
iconip,nips,2011,2001,2,73
iconip,nips,2011,2002,4,101
iconip,nips,2011,2003,4,97
iconip,nips,2011,2004,2,133
iconip,nips,2011,2005,2,128
iconip,nips,2011,2006,1,166
iconip,nips,2011,2007,7,181
iconip,nips,2011,2008,6,195
iconip,nips,2011,2009,8,193
iconip,nips,2011,2010,4,193
iconip,nips,2012,1992,1,43
iconip,nips,2012,1994,1,41
iconip,nips,2012,1995,1,43
iconip,nips,2012,1996,3,56
iconip,nips,2012,1997,2,60
iconip,nips,2012,1998,2,61
iconip,nips,2012,1999,2,99
iconip,nips,2012,2000,2,115
iconip,nips,2012,2001,2,95
iconip,nips,2012,2002,4,134
iconip,nips,2012,2003,5,148
iconip,nips,2012,2004,4,164
iconip,nips,2012,2005,5,197
iconip,nips,2012,2006,7,232
iconip,nips,2012,2007,4,246
iconip,nips,2012,2008,5,247
iconip,nips,2012,2009,4,258
iconip,nips,2012,2010,4,269
iconip,nips,2012,2011,5,281
