from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icpr,cvpr,1988,1986,2,58
icpr,cvpr,1990,1983,1,27
icpr,cvpr,1990,1986,3,78
icpr,cvpr,1990,1988,18,121
icpr,cvpr,1990,1989,10,72
icpr,cvpr,1992,1985,1,35
icpr,cvpr,1992,1986,3,47
icpr,cvpr,1992,1988,10,86
icpr,cvpr,1992,1989,6,88
icpr,cvpr,1992,1991,7,82
icpr,cvpr,1994,1983,1,13
icpr,cvpr,1994,1986,1,32
icpr,cvpr,1994,1988,4,35
icpr,cvpr,1994,1989,1,41
icpr,cvpr,1994,1991,8,69
icpr,cvpr,1994,1992,5,113
icpr,cvpr,1994,1993,9,102
icpr,cvpr,1996,1988,2,12
icpr,cvpr,1996,1989,1,17
icpr,cvpr,1996,1993,4,35
icpr,cvpr,1996,1994,5,61
icpr,cvpr,1998,1983,2,10
icpr,cvpr,1998,1986,2,10
icpr,cvpr,1998,1988,1,15
icpr,cvpr,1998,1989,1,14
icpr,cvpr,1998,1991,1,13
icpr,cvpr,1998,1992,1,30
icpr,cvpr,1998,1993,2,21
icpr,cvpr,1998,1994,3,30
icpr,cvpr,1998,1996,2,55
icpr,cvpr,1998,1997,5,55
icpr,cvpr,2000,1985,1,31
icpr,cvpr,2000,1986,4,36
icpr,cvpr,2000,1988,2,54
icpr,cvpr,2000,1989,2,63
icpr,cvpr,2000,1991,7,89
icpr,cvpr,2000,1992,9,113
icpr,cvpr,2000,1993,7,129
icpr,cvpr,2000,1994,13,157
icpr,cvpr,2000,1996,17,258
icpr,cvpr,2000,1997,29,330
icpr,cvpr,2000,1998,23,365
icpr,cvpr,2000,1999,26,322
icpr,cvpr,2002,1983,1,14
icpr,cvpr,2002,1986,1,23
icpr,cvpr,2002,1988,2,25
icpr,cvpr,2002,1989,3,40
icpr,cvpr,2002,1991,2,48
icpr,cvpr,2002,1992,3,91
icpr,cvpr,2002,1993,3,82
icpr,cvpr,2002,1994,10,98
icpr,cvpr,2002,1996,6,162
icpr,cvpr,2002,1997,25,186
icpr,cvpr,2002,1998,17,215
icpr,cvpr,2002,1999,21,264
