from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icpr,eccv,1992,1990,2,137
icpr,eccv,1994,1990,4,85
icpr,eccv,1994,1992,14,113
icpr,eccv,1996,1992,3,34
icpr,eccv,1996,1994,3,61
icpr,eccv,1998,1990,1,20
icpr,eccv,1998,1992,1,30
icpr,eccv,1998,1994,1,30
icpr,eccv,1998,1996,5,55
icpr,eccv,2000,1990,2,63
icpr,eccv,2000,1992,7,113
icpr,eccv,2000,1994,11,157
icpr,eccv,2000,1996,17,258
icpr,eccv,2000,1998,10,365
icpr,eccv,2002,1992,6,91
icpr,eccv,2002,1994,4,98
icpr,eccv,2002,1996,9,162
icpr,eccv,2002,1998,3,215
icpr,eccv,2002,2000,12,313
icpr,eccv,2004,1990,1,30
icpr,eccv,2004,1992,1,46
icpr,eccv,2004,1996,9,82
icpr,eccv,2004,1998,6,146
icpr,eccv,2004,1999,1,122
icpr,eccv,2004,2000,7,170
icpr,eccv,2004,2002,31,231
icpr,eccv,2005,1996,2,41
icpr,eccv,2005,1998,1,67
icpr,eccv,2005,2000,1,98
icpr,eccv,2005,2002,4,101
icpr,eccv,2005,2004,2,115
icpr,eccv,2006,1992,5,92
icpr,eccv,2006,1994,10,118
icpr,eccv,2006,1996,5,196
icpr,eccv,2006,1998,9,280
icpr,eccv,2006,1999,1,288
icpr,eccv,2006,2000,11,330
icpr,eccv,2006,2002,46,440
icpr,eccv,2006,2004,48,691
icpr,eccv,2007,2002,1,1
icpr,eccv,2008,1992,5,58
icpr,eccv,2008,1994,5,82
icpr,eccv,2008,1996,5,105
icpr,eccv,2008,1998,6,202
icpr,eccv,2008,2000,11,254
icpr,eccv,2008,2002,18,294
icpr,eccv,2008,2004,26,443
icpr,eccv,2008,2006,23,638
icpr,eccv,2008,2007,1,632
icpr,eccv,2010,1992,1,21
icpr,eccv,2010,1994,1,22
icpr,eccv,2010,1996,1,32
icpr,eccv,2010,1998,2,74
icpr,eccv,2010,2002,9,91
icpr,eccv,2010,2004,8,165
icpr,eccv,2010,2006,11,213
icpr,eccv,2010,2008,21,304
icpr,eccv,2011,1998,3,16
icpr,eccv,2011,2002,2,26
icpr,eccv,2011,2004,2,36
icpr,eccv,2011,2006,3,36
icpr,eccv,2011,2008,3,39
icpr,eccv,2011,2010,2,33
icpr,eccv,2012,1994,1,20
icpr,eccv,2012,1998,2,43
icpr,eccv,2012,2000,1,56
icpr,eccv,2012,2002,7,75
icpr,eccv,2012,2004,5,104
icpr,eccv,2012,2006,15,156
icpr,eccv,2012,2008,19,209
icpr,eccv,2012,2010,29,302
icpr,eccv,2014,2002,1,14
icpr,eccv,2014,2004,1,19
icpr,eccv,2014,2006,2,31
icpr,eccv,2014,2008,1,37
icpr,eccv,2014,2010,4,41
icpr,eccv,2014,2012,8,39
icpr,eccv,2015,2002,1,12
