from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icpr,icdar,1992,1991,4,82
icpr,icdar,1994,1991,3,69
icpr,icdar,1994,1993,11,102
icpr,icdar,1996,1993,2,35
icpr,icdar,1996,1995,3,64
icpr,icdar,1998,1993,6,21
icpr,icdar,1998,1995,3,43
icpr,icdar,1998,1997,8,55
icpr,icdar,2000,1991,2,89
icpr,icdar,2000,1993,10,129
icpr,icdar,2000,1995,10,193
icpr,icdar,2000,1997,24,330
icpr,icdar,2000,1999,23,322
icpr,icdar,2002,1993,7,82
icpr,icdar,2002,1995,11,131
icpr,icdar,2002,1997,13,186
icpr,icdar,2002,1999,18,264
icpr,icdar,2002,2001,14,228
icpr,icdar,2004,1997,5,94
icpr,icdar,2004,1999,6,122
icpr,icdar,2004,2001,8,173
icpr,icdar,2004,2003,15,258
icpr,icdar,2005,1995,1,41
icpr,icdar,2005,1997,1,49
icpr,icdar,2005,1999,4,77
icpr,icdar,2005,2001,4,87
icpr,icdar,2005,2003,3,106
icpr,icdar,2006,1993,7,102
icpr,icdar,2006,1995,4,139
icpr,icdar,2006,1997,11,210
icpr,icdar,2006,1999,7,288
icpr,icdar,2006,2001,14,412
icpr,icdar,2006,2003,19,549
icpr,icdar,2006,2005,22,624
icpr,icdar,2008,1993,2,54
icpr,icdar,2008,1995,5,111
icpr,icdar,2008,1997,5,148
icpr,icdar,2008,1999,8,181
icpr,icdar,2008,2001,8,271
icpr,icdar,2008,2003,21,385
icpr,icdar,2008,2005,18,552
icpr,icdar,2008,2007,29,632
icpr,icdar,2010,1993,1,14
icpr,icdar,2010,1997,2,47
icpr,icdar,2010,2001,5,99
icpr,icdar,2010,2003,2,135
icpr,icdar,2010,2005,1,166
icpr,icdar,2010,2007,5,261
icpr,icdar,2010,2009,14,309
icpr,icdar,2012,1993,3,18
icpr,icdar,2012,1995,1,13
icpr,icdar,2012,1999,1,46
icpr,icdar,2012,2003,3,90
icpr,icdar,2012,2005,4,101
icpr,icdar,2012,2007,2,182
icpr,icdar,2012,2009,6,221
icpr,icdar,2012,2011,16,278
icpr,icdar,2014,1995,1,5
icpr,icdar,2014,1997,1,5
icpr,icdar,2014,2003,1,9
icpr,icdar,2015,2009,2,18
icpr,icdar,2015,2011,2,17
