from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icpr,icml,1996,1995,1,64
icpr,icml,1998,1990,1,20
icpr,icml,1998,1995,1,43
icpr,icml,2000,1994,1,157
icpr,icml,2000,1996,2,258
icpr,icml,2000,1998,1,365
icpr,icml,2000,1999,1,322
icpr,icml,2002,1988,1,25
icpr,icml,2002,1994,1,98
icpr,icml,2002,1995,2,131
icpr,icml,2002,1996,4,162
icpr,icml,2002,1997,2,186
icpr,icml,2002,1998,2,215
icpr,icml,2002,2000,2,313
icpr,icml,2004,1988,1,15
icpr,icml,2004,1995,2,67
icpr,icml,2004,1996,2,82
icpr,icml,2004,2000,4,170
icpr,icml,2004,2001,2,173
icpr,icml,2004,2002,1,231
icpr,icml,2004,2003,5,258
icpr,icml,2005,1992,1,26
icpr,icml,2005,1996,2,41
icpr,icml,2005,1997,1,49
icpr,icml,2005,1998,1,67
icpr,icml,2005,2000,2,98
icpr,icml,2005,2002,2,101
icpr,icml,2005,2003,1,106
icpr,icml,2005,2004,2,115
icpr,icml,2006,1992,1,92
icpr,icml,2006,1994,2,118
icpr,icml,2006,1995,1,139
icpr,icml,2006,1996,4,196
icpr,icml,2006,1997,3,210
icpr,icml,2006,1998,2,280
icpr,icml,2006,2000,6,330
icpr,icml,2006,2001,4,412
icpr,icml,2006,2002,3,440
icpr,icml,2006,2003,11,549
icpr,icml,2006,2004,8,691
icpr,icml,2006,2005,2,624
icpr,icml,2008,1992,2,58
icpr,icml,2008,1994,3,82
icpr,icml,2008,1995,1,111
icpr,icml,2008,1996,3,105
icpr,icml,2008,1997,3,148
icpr,icml,2008,1998,4,202
icpr,icml,2008,1999,1,181
icpr,icml,2008,2000,5,254
icpr,icml,2008,2001,3,271
icpr,icml,2008,2002,4,294
icpr,icml,2008,2003,5,385
icpr,icml,2008,2004,6,443
icpr,icml,2008,2005,3,552
icpr,icml,2008,2006,9,638
icpr,icml,2008,2007,8,632
icpr,icml,2009,1995,1,5
icpr,icml,2010,1995,1,31
icpr,icml,2010,1996,1,32
icpr,icml,2010,1997,1,47
icpr,icml,2010,1999,1,59
icpr,icml,2010,2000,2,83
icpr,icml,2010,2001,2,99
icpr,icml,2010,2003,1,135
icpr,icml,2010,2004,5,165
icpr,icml,2010,2005,2,166
icpr,icml,2010,2006,3,213
icpr,icml,2010,2008,4,304
icpr,icml,2010,2009,2,309
icpr,icml,2011,1995,1,2
icpr,icml,2011,1998,1,16
icpr,icml,2011,2001,1,17
icpr,icml,2011,2005,1,25
icpr,icml,2012,1991,1,12
icpr,icml,2012,1992,3,13
icpr,icml,2012,1994,1,20
icpr,icml,2012,1995,1,13
icpr,icml,2012,1998,1,43
icpr,icml,2012,2002,2,75
icpr,icml,2012,2003,1,90
icpr,icml,2012,2004,2,104
icpr,icml,2012,2005,2,101
icpr,icml,2012,2006,2,156
icpr,icml,2012,2007,3,182
icpr,icml,2012,2009,3,221
icpr,icml,2012,2010,3,302
icpr,icml,2012,2011,2,278
icpr,icml,2013,2004,1,14
icpr,icml,2014,1998,1,10
icpr,icml,2014,2003,1,9
icpr,icml,2014,2004,2,19
icpr,icml,2014,2006,1,31
icpr,icml,2014,2007,1,31
icpr,icml,2014,2009,1,29
icpr,icml,2014,2010,1,41
icpr,icml,2014,2011,1,51
icpr,icml,2015,2000,1,9
icpr,icml,2015,2003,1,16
