from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icpr,icpr,1988,1984,1,35
icpr,icpr,1990,1978,1,13
icpr,icpr,1990,1984,1,34
icpr,icpr,1990,1986,2,78
icpr,icpr,1990,1988,20,121
icpr,icpr,1992,1976,1,6
icpr,icpr,1992,1986,2,47
icpr,icpr,1992,1988,15,86
icpr,icpr,1992,1990,25,137
icpr,icpr,1994,1988,1,35
icpr,icpr,1994,1990,19,85
icpr,icpr,1994,1992,20,113
icpr,icpr,1996,1990,1,24
icpr,icpr,1996,1992,5,34
icpr,icpr,1996,1994,11,61
icpr,icpr,1998,1990,1,20
icpr,icpr,1998,1992,2,30
icpr,icpr,1998,1994,3,30
icpr,icpr,1998,1996,9,55
icpr,icpr,2000,1978,1,10
icpr,icpr,2000,1982,1,16
icpr,icpr,2000,1984,2,31
icpr,icpr,2000,1986,1,36
icpr,icpr,2000,1988,4,54
icpr,icpr,2000,1990,4,63
icpr,icpr,2000,1992,7,113
icpr,icpr,2000,1994,9,157
icpr,icpr,2000,1996,37,258
icpr,icpr,2000,1998,55,365
icpr,icpr,2002,1988,1,25
icpr,icpr,2002,1990,4,47
icpr,icpr,2002,1992,7,91
icpr,icpr,2002,1994,8,98
icpr,icpr,2002,1996,20,162
icpr,icpr,2002,1998,15,215
icpr,icpr,2002,2000,63,313
icpr,icpr,2004,1980,1,8
icpr,icpr,2004,1984,1,7
icpr,icpr,2004,1990,2,30
icpr,icpr,2004,1992,2,46
icpr,icpr,2004,1994,6,61
icpr,icpr,2004,1996,5,82
icpr,icpr,2004,1998,9,146
icpr,icpr,2004,2000,30,170
icpr,icpr,2004,2002,39,231
icpr,icpr,2005,1978,1,6
icpr,icpr,2005,1992,1,26
icpr,icpr,2005,1994,1,39
icpr,icpr,2005,1996,3,41
icpr,icpr,2005,1998,2,67
icpr,icpr,2005,2000,13,98
icpr,icpr,2005,2002,10,101
icpr,icpr,2005,2004,13,115
icpr,icpr,2006,1986,2,34
icpr,icpr,2006,1988,4,46
icpr,icpr,2006,1990,4,45
icpr,icpr,2006,1992,4,92
icpr,icpr,2006,1994,8,118
icpr,icpr,2006,1996,15,196
icpr,icpr,2006,1998,15,280
icpr,icpr,2006,2000,36,330
icpr,icpr,2006,2002,52,440
icpr,icpr,2006,2004,103,691
icpr,icpr,2006,2005,2,624
icpr,icpr,2008,1986,1,21
icpr,icpr,2008,1988,2,23
icpr,icpr,2008,1990,2,25
icpr,icpr,2008,1992,4,58
icpr,icpr,2008,1996,4,105
icpr,icpr,2008,1998,7,202
icpr,icpr,2008,2000,14,254
icpr,icpr,2008,2002,40,294
icpr,icpr,2008,2004,36,443
icpr,icpr,2008,2005,2,552
icpr,icpr,2008,2006,92,638
icpr,icpr,2009,2006,1,22
icpr,icpr,2010,1988,1,11
icpr,icpr,2010,1994,1,22
icpr,icpr,2010,1996,2,32
icpr,icpr,2010,1998,2,74
icpr,icpr,2010,2000,5,83
icpr,icpr,2010,2002,5,91
icpr,icpr,2010,2004,9,165
icpr,icpr,2010,2005,1,166
icpr,icpr,2010,2006,16,213
icpr,icpr,2010,2008,41,304
icpr,icpr,2011,2006,2,36
icpr,icpr,2011,2008,1,39
icpr,icpr,2011,2010,3,33
icpr,icpr,2012,1984,1,3
icpr,icpr,2012,1990,2,8
icpr,icpr,2012,1994,1,20
icpr,icpr,2012,1996,1,25
icpr,icpr,2012,1998,2,43
icpr,icpr,2012,2000,6,56
icpr,icpr,2012,2002,1,75
icpr,icpr,2012,2004,11,104
icpr,icpr,2012,2006,15,156
icpr,icpr,2012,2008,13,209
icpr,icpr,2012,2010,28,302
icpr,icpr,2012,2011,2,278
icpr,icpr,2014,2002,1,14
icpr,icpr,2014,2008,3,37
icpr,icpr,2014,2009,1,29
icpr,icpr,2014,2010,1,41
icpr,icpr,2014,2012,1,39
icpr,icpr,2014,2013,2,34
icpr,icpr,2015,1994,1,3
icpr,icpr,2015,2000,3,9
icpr,icpr,2015,2004,1,13
icpr,icpr,2015,2010,1,12
