from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icpr,nips,1990,1989,1,72
icpr,nips,1992,1989,1,88
icpr,nips,1992,1990,3,137
icpr,nips,1994,1989,1,41
icpr,nips,1994,1990,2,85
icpr,nips,1994,1992,1,113
icpr,nips,1996,1990,1,24
icpr,nips,1996,1991,1,22
icpr,nips,1996,1994,1,61
icpr,nips,1996,1995,1,64
icpr,nips,1998,1992,2,30
icpr,nips,1998,1994,1,30
icpr,nips,1998,1997,1,55
icpr,nips,2000,1990,2,63
icpr,nips,2000,1992,2,113
icpr,nips,2000,1994,2,157
icpr,nips,2000,1995,4,193
icpr,nips,2000,1996,3,258
icpr,nips,2000,1997,3,330
icpr,nips,2000,1998,5,365
icpr,nips,2000,1999,2,322
icpr,nips,2002,1990,2,47
icpr,nips,2002,1992,1,91
icpr,nips,2002,1996,1,162
icpr,nips,2002,1997,2,186
icpr,nips,2002,1998,3,215
icpr,nips,2002,1999,4,264
icpr,nips,2002,2000,6,313
icpr,nips,2002,2001,4,228
icpr,nips,2004,1990,1,30
icpr,nips,2004,1992,2,46
icpr,nips,2004,1994,3,61
icpr,nips,2004,1995,1,67
icpr,nips,2004,1996,1,82
icpr,nips,2004,1997,3,94
icpr,nips,2004,1998,3,146
icpr,nips,2004,1999,1,122
icpr,nips,2004,2000,6,170
icpr,nips,2004,2001,5,173
icpr,nips,2004,2002,3,231
icpr,nips,2004,2003,6,258
icpr,nips,2005,1990,1,9
icpr,nips,2005,1995,1,41
icpr,nips,2005,1997,1,49
icpr,nips,2005,1998,1,67
icpr,nips,2005,1999,2,77
icpr,nips,2005,2000,4,98
icpr,nips,2005,2001,2,87
icpr,nips,2005,2002,3,101
icpr,nips,2005,2003,1,106
icpr,nips,2005,2004,2,115
icpr,nips,2006,1990,2,45
icpr,nips,2006,1992,1,92
icpr,nips,2006,1994,1,118
icpr,nips,2006,1995,6,139
icpr,nips,2006,1996,5,196
icpr,nips,2006,1997,3,210
icpr,nips,2006,1998,4,280
icpr,nips,2006,1999,6,288
icpr,nips,2006,2000,6,330
icpr,nips,2006,2001,7,412
icpr,nips,2006,2002,6,440
icpr,nips,2006,2003,12,549
icpr,nips,2006,2004,17,691
icpr,nips,2006,2005,4,624
icpr,nips,2008,1990,1,25
icpr,nips,2008,1992,1,58
icpr,nips,2008,1994,2,82
icpr,nips,2008,1995,2,111
icpr,nips,2008,1996,2,105
icpr,nips,2008,1997,1,148
icpr,nips,2008,1998,5,202
icpr,nips,2008,1999,6,181
icpr,nips,2008,2000,8,254
icpr,nips,2008,2001,7,271
icpr,nips,2008,2002,8,294
icpr,nips,2008,2003,13,385
icpr,nips,2008,2004,9,443
icpr,nips,2008,2005,8,552
icpr,nips,2008,2006,7,638
icpr,nips,2008,2007,8,632
icpr,nips,2010,1990,2,13
icpr,nips,2010,1992,1,21
icpr,nips,2010,1995,1,31
icpr,nips,2010,1996,1,32
icpr,nips,2010,1998,1,74
icpr,nips,2010,1999,2,59
icpr,nips,2010,2000,4,83
icpr,nips,2010,2001,4,99
icpr,nips,2010,2002,3,91
icpr,nips,2010,2003,5,135
icpr,nips,2010,2004,3,165
icpr,nips,2010,2005,1,166
icpr,nips,2010,2006,2,213
icpr,nips,2010,2007,3,261
icpr,nips,2010,2009,2,309
icpr,nips,2011,1999,1,13
icpr,nips,2011,2000,2,13
icpr,nips,2011,2001,1,17
icpr,nips,2011,2002,1,26
icpr,nips,2011,2003,1,14
icpr,nips,2011,2004,1,36
icpr,nips,2011,2008,1,39
icpr,nips,2011,2009,1,50
icpr,nips,2012,1994,1,20
icpr,nips,2012,1997,1,28
icpr,nips,2012,1998,2,43
icpr,nips,2012,1999,3,46
icpr,nips,2012,2000,2,56
icpr,nips,2012,2001,1,51
icpr,nips,2012,2002,3,75
icpr,nips,2012,2003,6,90
icpr,nips,2012,2004,2,104
icpr,nips,2012,2005,3,101
icpr,nips,2012,2006,6,156
icpr,nips,2012,2007,4,182
icpr,nips,2012,2008,4,209
icpr,nips,2012,2009,5,221
icpr,nips,2012,2010,3,302
icpr,nips,2012,2011,5,278
icpr,nips,2013,2001,1,5
icpr,nips,2013,2003,1,15
icpr,nips,2014,1999,1,18
icpr,nips,2014,2001,1,17
icpr,nips,2014,2004,1,19
icpr,nips,2014,2005,1,17
icpr,nips,2014,2007,1,31
icpr,nips,2014,2008,1,37
icpr,nips,2014,2009,3,29
icpr,nips,2014,2011,2,51
icpr,nips,2015,1999,2,6
icpr,nips,2015,2004,1,13
icpr,nips,2015,2006,1,10
icpr,nips,2015,2007,2,15
icpr,nips,2015,2008,1,14
icpr,nips,2015,2010,1,12
