from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icpr,uai,1992,1990,2,137
icpr,uai,2000,1987,1,54
icpr,uai,2000,1997,1,330
icpr,uai,2000,1998,1,365
icpr,uai,2000,1999,1,322
icpr,uai,2002,1997,2,186
icpr,uai,2002,1998,1,215
icpr,uai,2002,2000,2,313
icpr,uai,2004,1997,1,94
icpr,uai,2004,1998,1,146
icpr,uai,2004,2000,1,170
icpr,uai,2005,1997,1,49
icpr,uai,2006,1989,1,45
icpr,uai,2006,1995,1,139
icpr,uai,2006,1996,1,196
icpr,uai,2006,1997,1,210
icpr,uai,2006,2000,1,330
icpr,uai,2008,1995,1,111
icpr,uai,2008,1997,1,148
icpr,uai,2008,1998,2,202
icpr,uai,2008,1999,2,181
icpr,uai,2008,2000,4,254
icpr,uai,2008,2002,4,294
icpr,uai,2008,2004,1,443
icpr,uai,2009,1990,1,3
icpr,uai,2010,2002,1,91
icpr,uai,2010,2004,1,165
icpr,uai,2010,2009,1,309
icpr,uai,2011,1998,1,16
icpr,uai,2012,2000,2,56
icpr,uai,2013,1998,1,7
