from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icra,aamas,1998,1997,2,183
icra,aamas,2000,1998,2,295
icra,aamas,2001,1997,2,183
icra,aamas,2001,2000,1,268
icra,aamas,2002,1997,3,194
icra,aamas,2002,1998,2,221
icra,aamas,2002,2000,3,361
icra,aamas,2003,1997,3,146
icra,aamas,2003,2000,3,212
icra,aamas,2003,2002,2,229
icra,aamas,2004,1997,1,121
icra,aamas,2004,1998,2,134
icra,aamas,2004,2000,1,173
icra,aamas,2004,2001,1,184
icra,aamas,2005,1998,1,301
icra,aamas,2005,2000,1,380
icra,aamas,2005,2001,1,357
icra,aamas,2005,2002,1,477
icra,aamas,2005,2003,3,579
icra,aamas,2005,2004,3,556
icra,aamas,2006,1998,1,236
icra,aamas,2006,2000,2,357
icra,aamas,2006,2001,2,335
icra,aamas,2006,2002,1,404
icra,aamas,2006,2003,5,450
icra,aamas,2006,2004,3,588
icra,aamas,2006,2005,1,437
icra,aamas,2007,1997,1,228
icra,aamas,2007,1998,1,228
icra,aamas,2007,2000,2,309
icra,aamas,2007,2001,3,351
icra,aamas,2007,2002,1,354
icra,aamas,2007,2003,1,460
icra,aamas,2007,2004,2,596
icra,aamas,2008,1997,1,140
icra,aamas,2008,2000,1,252
icra,aamas,2008,2001,2,283
icra,aamas,2008,2003,3,356
icra,aamas,2008,2004,2,462
icra,aamas,2008,2005,3,570
icra,aamas,2008,2006,2,605
icra,aamas,2008,2007,3,553
icra,aamas,2009,1997,1,129
icra,aamas,2009,1998,1,175
icra,aamas,2009,2000,1,239
icra,aamas,2009,2001,2,265
icra,aamas,2009,2003,1,412
icra,aamas,2009,2004,1,448
icra,aamas,2009,2005,1,551
icra,aamas,2009,2006,2,655
icra,aamas,2009,2007,2,742
icra,aamas,2009,2008,4,572
icra,aamas,2010,2004,1,46
icra,aamas,2010,2009,1,56
icra,aamas,2011,1998,1,180
icra,aamas,2011,2001,2,311
icra,aamas,2011,2002,2,340
icra,aamas,2011,2003,2,395
icra,aamas,2011,2004,2,524
icra,aamas,2011,2008,3,797
icra,aamas,2011,2009,3,973
icra,aamas,2011,2010,1,819
icra,aamas,2012,1998,1,11
icra,aamas,2013,1998,1,7
icra,aamas,2013,2010,1,39
icra,aamas,2015,1998,1,93
icra,aamas,2015,2002,1,166
icra,aamas,2015,2003,1,151
icra,aamas,2015,2004,1,249
icra,aamas,2015,2007,3,320
icra,aamas,2015,2008,1,351
icra,aamas,2015,2009,1,435
icra,aamas,2015,2010,1,522
icra,aamas,2015,2011,1,614
icra,aamas,2015,2012,1,680
icra,aamas,2015,2013,5,796
icra,aamas,2015,2014,4,616
