from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icra,accv,1999,1998,1,45
icra,accv,2000,1998,1,295
icra,accv,2001,1998,1,240
icra,accv,2001,2000,1,268
icra,accv,2004,2000,1,173
icra,accv,2005,2004,1,556
icra,accv,2006,1995,2,162
icra,accv,2006,1998,1,236
icra,accv,2006,2000,1,357
icra,accv,2006,2004,1,588
icra,accv,2007,1998,1,228
icra,accv,2007,2000,1,309
icra,accv,2007,2006,2,552
icra,accv,2008,1999,1,205
icra,accv,2008,2004,1,462
icra,accv,2008,2007,2,553
icra,accv,2009,1995,1,109
icra,accv,2009,2002,1,352
icra,accv,2009,2007,1,742
icra,accv,2011,1995,2,118
icra,accv,2011,1998,1,180
icra,accv,2011,2000,1,258
icra,accv,2011,2007,4,727
icra,accv,2011,2009,2,973
icra,accv,2015,2000,1,120
icra,accv,2015,2006,3,330
icra,accv,2015,2010,5,522
icra,accv,2015,2012,4,680
icra,accv,2015,2013,1,796
