from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icra,bmvc,1993,1990,1,160
icra,bmvc,1993,1991,1,164
icra,bmvc,1994,1992,1,207
icra,bmvc,1996,1990,1,117
icra,bmvc,1997,1990,1,101
icra,bmvc,1997,1993,1,151
icra,bmvc,1997,1996,1,220
icra,bmvc,1998,1991,1,75
icra,bmvc,2000,1995,1,205
icra,bmvc,2000,1999,1,255
icra,bmvc,2001,1992,1,84
icra,bmvc,2002,1996,1,185
icra,bmvc,2003,1992,1,70
icra,bmvc,2003,1994,1,81
icra,bmvc,2005,1996,1,177
icra,bmvc,2005,1997,1,221
icra,bmvc,2005,1998,2,301
icra,bmvc,2005,2001,1,357
icra,bmvc,2005,2002,2,477
icra,bmvc,2005,2004,2,556
icra,bmvc,2006,1998,1,236
icra,bmvc,2006,2001,1,335
icra,bmvc,2006,2002,2,404
icra,bmvc,2006,2004,3,588
icra,bmvc,2007,1995,1,163
icra,bmvc,2007,2000,1,309
icra,bmvc,2007,2004,4,596
icra,bmvc,2007,2005,1,641
icra,bmvc,2007,2006,1,552
icra,bmvc,2008,1996,1,136
icra,bmvc,2008,1999,1,205
icra,bmvc,2008,2001,1,283
icra,bmvc,2008,2002,2,330
icra,bmvc,2008,2004,2,462
icra,bmvc,2008,2006,3,605
icra,bmvc,2008,2007,2,553
icra,bmvc,2009,1990,1,66
icra,bmvc,2009,2001,1,265
icra,bmvc,2009,2002,3,352
icra,bmvc,2009,2003,1,412
icra,bmvc,2009,2005,4,551
icra,bmvc,2009,2006,3,655
icra,bmvc,2009,2008,2,572
icra,bmvc,2010,1996,1,17
icra,bmvc,2010,2006,1,53
icra,bmvc,2010,2008,1,83
icra,bmvc,2010,2009,1,56
icra,bmvc,2011,1998,2,180
icra,bmvc,2011,2000,2,258
icra,bmvc,2011,2001,2,311
icra,bmvc,2011,2002,3,340
icra,bmvc,2011,2004,4,524
icra,bmvc,2011,2005,2,577
icra,bmvc,2011,2006,3,660
icra,bmvc,2011,2007,3,727
icra,bmvc,2011,2008,2,797
icra,bmvc,2011,2009,7,973
icra,bmvc,2011,2010,5,819
icra,bmvc,2012,2010,1,50
icra,bmvc,2013,2006,1,19
icra,bmvc,2015,1998,1,93
icra,bmvc,2015,2002,1,166
icra,bmvc,2015,2003,1,151
icra,bmvc,2015,2005,1,247
icra,bmvc,2015,2009,3,435
icra,bmvc,2015,2010,5,522
icra,bmvc,2015,2011,3,614
icra,bmvc,2015,2012,9,680
icra,bmvc,2015,2013,2,796
icra,bmvc,2015,2014,4,616
