from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icra,ecai,1986,1982,1,42
icra,ecai,1987,1982,1,24
icra,ecai,1988,1982,1,24
icra,ecai,1989,1986,1,76
icra,ecai,1990,1988,1,117
icra,ecai,1994,1988,1,96
icra,ecai,1996,1984,1,28
icra,ecai,1996,1988,1,80
icra,ecai,1996,1992,1,144
icra,ecai,1997,1992,1,152
icra,ecai,2000,1992,1,104
icra,ecai,2001,1996,1,184
icra,ecai,2001,1998,1,240
icra,ecai,2002,1996,1,185
icra,ecai,2003,1992,1,70
icra,ecai,2003,1998,1,168
icra,ecai,2005,2000,1,380
icra,ecai,2005,2004,1,556
icra,ecai,2006,2004,1,588
icra,ecai,2007,2000,1,309
icra,ecai,2007,2004,2,596
icra,ecai,2007,2006,1,552
icra,ecai,2009,2006,1,655
icra,ecai,2009,2008,3,572
icra,ecai,2011,2000,1,258
icra,ecai,2012,2002,1,16
icra,ecai,2012,2008,1,36
