from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icra,eccv,1992,1990,1,114
icra,eccv,1993,1990,1,160
icra,eccv,1993,1992,2,152
icra,eccv,1994,1990,1,130
icra,eccv,1994,1992,1,207
icra,eccv,1996,1992,1,144
icra,eccv,1997,1992,1,152
icra,eccv,1997,1994,3,189
icra,eccv,1997,1996,2,220
icra,eccv,1998,1990,1,83
icra,eccv,1998,1992,1,95
icra,eccv,1998,1994,2,151
icra,eccv,1999,1996,1,45
icra,eccv,2000,1990,1,77
icra,eccv,2000,1992,2,104
icra,eccv,2000,1994,2,144
icra,eccv,2000,1996,1,194
icra,eccv,2001,1992,2,84
icra,eccv,2001,1994,2,147
icra,eccv,2001,1996,2,184
icra,eccv,2001,1998,3,240
icra,eccv,2002,1994,3,120
icra,eccv,2002,1998,2,221
icra,eccv,2002,2000,1,361
icra,eccv,2003,1992,2,70
icra,eccv,2003,1994,1,81
icra,eccv,2003,1998,1,168
icra,eccv,2003,2000,1,212
icra,eccv,2003,2002,2,229
icra,eccv,2004,1994,1,68
icra,eccv,2004,1998,3,134
icra,eccv,2005,1992,2,96
icra,eccv,2005,1994,2,150
icra,eccv,2005,1996,1,177
icra,eccv,2005,1998,4,301
icra,eccv,2005,2000,4,380
icra,eccv,2005,2002,3,477
icra,eccv,2005,2004,6,556
icra,eccv,2006,1992,5,88
icra,eccv,2006,1994,1,121
icra,eccv,2006,1996,1,155
icra,eccv,2006,1998,5,236
icra,eccv,2006,2000,3,357
icra,eccv,2006,2002,5,404
icra,eccv,2006,2004,6,588
icra,eccv,2007,1990,2,70
icra,eccv,2007,1992,1,86
icra,eccv,2007,1994,2,118
icra,eccv,2007,1996,2,179
icra,eccv,2007,1998,3,228
icra,eccv,2007,2000,4,309
icra,eccv,2007,2002,5,354
icra,eccv,2007,2004,11,596
icra,eccv,2007,2006,2,552
icra,eccv,2008,1994,3,101
icra,eccv,2008,1998,6,187
icra,eccv,2008,2000,4,252
icra,eccv,2008,2002,3,330
icra,eccv,2008,2004,4,462
icra,eccv,2008,2006,6,605
icra,eccv,2009,1994,2,82
icra,eccv,2009,1996,2,126
icra,eccv,2009,1998,1,175
icra,eccv,2009,2000,3,239
icra,eccv,2009,2002,5,352
icra,eccv,2009,2004,3,448
icra,eccv,2009,2006,4,655
icra,eccv,2009,2008,3,572
icra,eccv,2010,1994,1,10
icra,eccv,2010,2000,1,26
icra,eccv,2010,2004,2,46
icra,eccv,2010,2006,1,53
icra,eccv,2010,2008,1,83
icra,eccv,2011,1990,1,74
icra,eccv,2011,1992,2,79
icra,eccv,2011,1994,1,113
icra,eccv,2011,1996,1,156
icra,eccv,2011,2000,4,258
icra,eccv,2011,2002,10,340
icra,eccv,2011,2004,15,524
icra,eccv,2011,2006,7,660
icra,eccv,2011,2008,11,797
icra,eccv,2011,2009,1,973
icra,eccv,2011,2010,12,819
icra,eccv,2012,2006,1,34
icra,eccv,2012,2008,1,36
icra,eccv,2013,1996,1,15
icra,eccv,2013,1998,1,7
icra,eccv,2014,2010,1,26
icra,eccv,2014,2012,1,34
icra,eccv,2015,1992,1,47
icra,eccv,2015,1994,1,54
icra,eccv,2015,1996,1,76
icra,eccv,2015,1998,1,93
icra,eccv,2015,2002,3,166
icra,eccv,2015,2004,4,249
icra,eccv,2015,2006,6,330
icra,eccv,2015,2008,7,351
icra,eccv,2015,2010,16,522
icra,eccv,2015,2012,12,680
icra,eccv,2015,2013,1,796
icra,eccv,2015,2014,9,616
