from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icra,ml,1991,1986,2,85
icra,ml,1991,1990,1,181
icra,ml,1992,1989,1,88
icra,ml,1993,1986,1,57
icra,ml,1996,1988,1,80
icra,ml,1996,1993,1,190
icra,ml,1997,1988,1,65
icra,ml,1997,1992,1,152
icra,ml,1998,1987,1,37
icra,ml,1998,1992,3,95
icra,ml,1998,1995,1,187
icra,ml,1998,1996,1,206
icra,ml,1999,1996,1,45
icra,ml,2000,1992,1,104
icra,ml,2000,1993,1,125
icra,ml,2000,1995,1,205
icra,ml,2000,1996,1,194
icra,ml,2000,1998,3,295
icra,ml,2001,1991,1,86
icra,ml,2001,1993,1,124
icra,ml,2001,1998,3,240
icra,ml,2002,1992,1,89
icra,ml,2002,1993,1,96
icra,ml,2002,1996,1,185
icra,ml,2002,1998,2,221
icra,ml,2003,1992,1,70
icra,ml,2003,1998,2,168
icra,ml,2004,1995,1,87
icra,ml,2004,1996,2,94
icra,ml,2004,1998,1,134
icra,ml,2004,2003,1,212
icra,ml,2005,1986,1,42
icra,ml,2005,1993,1,138
icra,ml,2005,1995,1,166
icra,ml,2005,1997,2,221
icra,ml,2005,1998,2,301
icra,ml,2005,2002,1,477
icra,ml,2005,2003,1,579
icra,ml,2006,1986,1,26
icra,ml,2006,1993,1,93
icra,ml,2006,1998,2,236
icra,ml,2006,2004,1,588
icra,ml,2007,1988,1,46
icra,ml,2007,1990,1,70
icra,ml,2007,1992,1,86
icra,ml,2007,1996,1,179
icra,ml,2007,1997,1,228
icra,ml,2007,1998,2,228
icra,ml,2007,1999,1,262
icra,ml,2007,2000,1,309
icra,ml,2007,2001,1,351
icra,ml,2007,2003,1,460
icra,ml,2008,1988,1,42
icra,ml,2008,1991,2,63
icra,ml,2008,1992,2,85
icra,ml,2008,1996,3,136
icra,ml,2008,1997,1,140
icra,ml,2008,1998,2,187
icra,ml,2008,2000,2,252
icra,ml,2008,2002,2,330
icra,ml,2008,2005,1,570
icra,ml,2009,1986,1,35
icra,ml,2009,1990,1,66
icra,ml,2009,1991,1,79
icra,ml,2009,1992,2,68
icra,ml,2009,1993,1,106
icra,ml,2009,1996,3,126
icra,ml,2009,1998,2,175
icra,ml,2009,2002,2,352
icra,ml,2009,2003,1,412
icra,ml,2009,2006,1,655
icra,ml,2009,2007,1,742
icra,ml,2010,1998,1,22
icra,ml,2010,2007,1,70
icra,ml,2011,1993,1,103
icra,ml,2011,1995,1,118
icra,ml,2011,1996,1,156
icra,ml,2011,1998,1,180
icra,ml,2011,2001,1,311
icra,ml,2011,2003,1,395
icra,ml,2011,2005,1,577
icra,ml,2012,1992,1,6
icra,ml,2012,1999,1,12
icra,ml,2015,1993,1,51
icra,ml,2015,1995,1,76
icra,ml,2015,1996,2,76
icra,ml,2015,2002,1,166
icra,ml,2015,2006,1,330
icra,ml,2015,2007,1,320
icra,ml,2015,2009,1,435
icra,ml,2015,2011,1,614
