from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icra,nips,1990,1988,1,117
icra,nips,1991,1990,2,181
icra,nips,1994,1990,1,130
icra,nips,1994,1992,1,207
icra,nips,1994,1993,1,189
icra,nips,1996,1990,2,117
icra,nips,1997,1989,1,71
icra,nips,1997,1990,2,101
icra,nips,1997,1992,1,152
icra,nips,1997,1994,2,189
icra,nips,1997,1996,1,220
icra,nips,1998,1995,1,187
icra,nips,1998,1996,1,206
icra,nips,1999,1989,1,12
icra,nips,2000,1990,3,77
icra,nips,2000,1992,1,104
icra,nips,2000,1996,1,194
icra,nips,2000,1997,2,232
icra,nips,2000,1998,3,295
icra,nips,2001,1990,2,82
icra,nips,2001,1992,2,84
icra,nips,2001,1993,1,124
icra,nips,2001,1999,2,281
icra,nips,2001,2000,1,268
icra,nips,2002,1995,2,175
icra,nips,2002,1998,1,221
icra,nips,2002,1999,1,305
icra,nips,2002,2000,1,361
icra,nips,2003,1990,1,56
icra,nips,2003,1994,1,81
icra,nips,2003,1995,1,90
icra,nips,2003,1999,1,209
icra,nips,2003,2000,1,212
icra,nips,2003,2001,3,271
icra,nips,2003,2002,1,229
icra,nips,2004,1994,2,68
icra,nips,2004,1995,1,87
icra,nips,2004,1997,2,121
icra,nips,2004,1998,1,134
icra,nips,2004,1999,1,159
icra,nips,2004,2000,5,173
icra,nips,2004,2001,1,184
icra,nips,2004,2003,2,212
icra,nips,2005,1988,1,57
icra,nips,2005,1990,1,89
icra,nips,2005,1992,1,96
icra,nips,2005,1995,2,166
icra,nips,2005,1996,1,177
icra,nips,2005,1997,2,221
icra,nips,2005,1998,4,301
icra,nips,2005,1999,2,327
icra,nips,2005,2000,5,380
icra,nips,2005,2001,6,357
icra,nips,2005,2002,3,477
icra,nips,2005,2003,7,579
icra,nips,2005,2004,1,556
icra,nips,2006,1992,1,88
icra,nips,2006,1993,1,93
icra,nips,2006,1994,1,121
icra,nips,2006,1996,1,155
icra,nips,2006,1997,1,176
icra,nips,2006,1998,1,236
icra,nips,2006,1999,1,262
icra,nips,2006,2000,3,357
icra,nips,2006,2002,2,404
icra,nips,2006,2003,3,450
icra,nips,2006,2004,4,588
icra,nips,2006,2005,1,437
icra,nips,2007,1994,4,118
icra,nips,2007,1995,2,163
icra,nips,2007,1996,2,179
icra,nips,2007,1998,1,228
icra,nips,2007,1999,1,262
icra,nips,2007,2000,4,309
icra,nips,2007,2001,5,351
icra,nips,2007,2002,4,354
icra,nips,2007,2003,5,460
icra,nips,2007,2004,2,596
icra,nips,2007,2005,4,641
icra,nips,2007,2006,2,552
icra,nips,2008,1990,1,61
icra,nips,2008,1994,2,101
icra,nips,2008,1995,1,110
icra,nips,2008,1996,4,136
icra,nips,2008,1997,1,140
icra,nips,2008,1998,4,187
icra,nips,2008,1999,4,205
icra,nips,2008,2000,4,252
icra,nips,2008,2001,2,283
icra,nips,2008,2002,4,330
icra,nips,2008,2003,6,356
icra,nips,2008,2004,4,462
icra,nips,2008,2005,3,570
icra,nips,2008,2006,2,605
icra,nips,2008,2007,4,553
icra,nips,2009,1994,2,82
icra,nips,2009,1995,1,109
icra,nips,2009,1999,2,201
icra,nips,2009,2000,2,239
icra,nips,2009,2001,3,265
icra,nips,2009,2002,4,352
icra,nips,2009,2003,3,412
icra,nips,2009,2004,6,448
icra,nips,2009,2005,7,551
icra,nips,2009,2006,4,655
icra,nips,2009,2007,5,742
icra,nips,2009,2008,1,572
icra,nips,2010,1998,1,22
icra,nips,2010,2000,2,26
icra,nips,2010,2001,2,31
icra,nips,2010,2002,2,35
icra,nips,2010,2003,2,40
icra,nips,2010,2004,1,46
icra,nips,2010,2006,1,53
icra,nips,2010,2007,1,70
icra,nips,2010,2008,5,83
icra,nips,2011,1989,1,59
icra,nips,2011,1998,1,180
icra,nips,2011,2000,3,258
icra,nips,2011,2001,2,311
icra,nips,2011,2002,4,340
icra,nips,2011,2003,5,395
icra,nips,2011,2004,3,524
icra,nips,2011,2005,3,577
icra,nips,2011,2006,5,660
icra,nips,2011,2007,5,727
icra,nips,2011,2008,4,797
icra,nips,2011,2009,5,973
icra,nips,2012,2001,1,19
icra,nips,2012,2007,1,42
icra,nips,2013,1989,1,6
icra,nips,2013,2004,1,22
icra,nips,2014,2000,1,12
icra,nips,2014,2010,1,26
icra,nips,2015,1989,1,28
icra,nips,2015,1994,1,54
icra,nips,2015,1995,1,76
icra,nips,2015,1996,2,76
icra,nips,2015,1999,2,108
icra,nips,2015,2000,3,120
icra,nips,2015,2001,4,136
icra,nips,2015,2002,4,166
icra,nips,2015,2003,6,151
icra,nips,2015,2004,4,249
icra,nips,2015,2005,4,247
icra,nips,2015,2006,4,330
icra,nips,2015,2007,4,320
icra,nips,2015,2008,6,351
icra,nips,2015,2009,2,435
icra,nips,2015,2010,4,522
icra,nips,2015,2011,4,614
icra,nips,2015,2012,6,680
icra,nips,2015,2013,7,796
icra,nips,2015,2014,1,616
icra,nips,2016,2012,1,13
