from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
icra,uai,1994,1990,1,130
icra,uai,1996,1990,1,117
icra,uai,2000,1998,1,295
icra,uai,2001,1990,1,82
icra,uai,2001,1995,1,134
icra,uai,2001,2000,1,268
icra,uai,2004,1988,1,27
icra,uai,2004,1997,1,121
icra,uai,2004,1998,1,134
icra,uai,2004,2001,1,184
icra,uai,2004,2002,1,225
icra,uai,2005,1998,2,301
icra,uai,2005,2000,3,380
icra,uai,2005,2001,2,357
icra,uai,2005,2002,3,477
icra,uai,2006,1990,1,73
icra,uai,2006,1998,1,236
icra,uai,2006,2000,2,357
icra,uai,2006,2002,2,404
icra,uai,2006,2004,1,588
icra,uai,2007,1995,1,163
icra,uai,2007,1999,2,262
icra,uai,2007,2000,2,309
icra,uai,2007,2002,1,354
icra,uai,2007,2004,1,596
icra,uai,2008,1995,1,110
icra,uai,2008,1997,1,140
icra,uai,2008,1998,1,187
icra,uai,2008,1999,1,205
icra,uai,2008,2000,1,252
icra,uai,2008,2002,1,330
icra,uai,2008,2004,1,462
icra,uai,2009,1990,1,66
icra,uai,2009,1994,1,82
icra,uai,2009,2000,3,239
icra,uai,2009,2001,1,265
icra,uai,2009,2002,2,352
icra,uai,2011,1999,2,226
icra,uai,2011,2000,1,258
icra,uai,2011,2001,1,311
icra,uai,2011,2002,1,340
icra,uai,2013,2000,1,15
icra,uai,2014,2004,1,8
icra,uai,2015,2000,1,120
icra,uai,2015,2004,1,249
icra,uai,2015,2012,1,680
