from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ictai,aaai,1992,1984,1,5
ictai,aaai,1992,1985,1,9
ictai,aaai,1992,1986,4,13
ictai,aaai,1992,1987,3,18
ictai,aaai,1992,1988,5,21
ictai,aaai,1992,1990,8,33
ictai,aaai,1992,1991,4,18
ictai,aaai,1994,1980,1,4
ictai,aaai,1994,1986,1,11
ictai,aaai,1994,1987,1,17
ictai,aaai,1994,1988,2,17
ictai,aaai,1994,1990,6,25
ictai,aaai,1994,1991,3,34
ictai,aaai,1994,1992,2,36
ictai,aaai,1994,1993,1,49
ictai,aaai,1995,1986,2,8
ictai,aaai,1995,1987,2,8
ictai,aaai,1995,1990,3,19
ictai,aaai,1995,1992,2,22
ictai,aaai,1995,1993,2,28
ictai,aaai,1996,1986,2,6
ictai,aaai,1996,1988,1,3
ictai,aaai,1996,1990,1,10
ictai,aaai,1996,1991,1,8
ictai,aaai,1996,1994,2,15
ictai,aaai,1997,1988,2,8
ictai,aaai,1997,1992,1,13
ictai,aaai,1997,1994,2,29
ictai,aaai,1997,1996,4,36
ictai,aaai,1998,1992,2,15
ictai,aaai,1998,1993,2,8
ictai,aaai,1998,1994,2,18
ictai,aaai,1998,1996,2,16
ictai,aaai,1999,1986,1,5
ictai,aaai,1999,1987,1,8
ictai,aaai,1999,1988,1,9
ictai,aaai,1999,1991,1,6
ictai,aaai,1999,1992,2,12
ictai,aaai,1999,1994,2,20
ictai,aaai,1999,1996,1,20
ictai,aaai,1999,1997,3,34
ictai,aaai,1999,1998,1,45
ictai,aaai,2000,1990,1,1
ictai,aaai,2000,1992,1,4
ictai,aaai,2000,1996,2,7
ictai,aaai,2001,1997,1,2
ictai,aaai,2001,1998,2,4
ictai,aaai,2001,1999,2,6
ictai,aaai,2002,1988,1,4
ictai,aaai,2002,1992,2,27
ictai,aaai,2002,1994,1,22
ictai,aaai,2002,1996,7,31
ictai,aaai,2002,1997,1,48
ictai,aaai,2002,1998,1,36
ictai,aaai,2002,1999,4,48
ictai,aaai,2002,2000,1,38
ictai,aaai,2003,1983,1,4
ictai,aaai,2003,1993,2,18
ictai,aaai,2003,1994,2,22
ictai,aaai,2003,1996,6,35
ictai,aaai,2003,1997,2,36
ictai,aaai,2003,1998,1,40
ictai,aaai,2003,1999,3,53
ictai,aaai,2003,2000,5,53
ictai,aaai,2003,2002,6,70
ictai,aaai,2004,1980,1,4
ictai,aaai,2004,1986,1,9
ictai,aaai,2004,1990,2,17
ictai,aaai,2004,1991,3,17
ictai,aaai,2004,1992,1,20
ictai,aaai,2004,1993,1,21
ictai,aaai,2004,1994,3,37
ictai,aaai,2004,1996,1,49
ictai,aaai,2004,1997,2,45
ictai,aaai,2004,1998,4,59
ictai,aaai,2004,1999,1,54
ictai,aaai,2004,2000,4,65
ictai,aaai,2004,2002,6,78
ictai,aaai,2005,1986,2,6
ictai,aaai,2005,1988,1,5
ictai,aaai,2005,1990,1,7
ictai,aaai,2005,1991,3,11
ictai,aaai,2005,1992,1,13
ictai,aaai,2005,1993,1,12
ictai,aaai,2005,1994,2,20
ictai,aaai,2005,1996,2,36
ictai,aaai,2005,1997,2,28
ictai,aaai,2005,1998,3,51
ictai,aaai,2005,1999,2,47
ictai,aaai,2005,2000,5,56
ictai,aaai,2005,2002,2,65
ictai,aaai,2005,2004,2,52
ictai,aaai,2006,1993,1,5
ictai,aaai,2006,1996,1,9
ictai,aaai,2006,2002,1,27
ictai,aaai,2006,2005,3,22
ictai,aaai,2007,1986,1,5
ictai,aaai,2007,1992,2,21
ictai,aaai,2007,1993,1,21
ictai,aaai,2007,1994,4,46
ictai,aaai,2007,1996,5,28
ictai,aaai,2007,1997,2,47
ictai,aaai,2007,1998,5,56
ictai,aaai,2007,1999,1,68
ictai,aaai,2007,2000,3,84
ictai,aaai,2007,2002,1,96
ictai,aaai,2007,2004,1,138
ictai,aaai,2007,2005,4,124
ictai,aaai,2007,2006,1,113
ictai,aaai,2008,1986,2,14
ictai,aaai,2008,1987,1,7
ictai,aaai,2008,1988,1,12
ictai,aaai,2008,1990,1,11
ictai,aaai,2008,1991,1,8
ictai,aaai,2008,1992,2,14
ictai,aaai,2008,1993,2,27
ictai,aaai,2008,1994,1,33
ictai,aaai,2008,1996,3,30
ictai,aaai,2008,1997,1,37
ictai,aaai,2008,1998,3,55
ictai,aaai,2008,1999,1,50
ictai,aaai,2008,2000,2,73
ictai,aaai,2008,2002,3,102
ictai,aaai,2008,2004,3,118
ictai,aaai,2008,2005,2,118
ictai,aaai,2008,2006,4,121
ictai,aaai,2008,2007,6,97
ictai,aaai,2009,1986,1,5
ictai,aaai,2009,1987,2,6
ictai,aaai,2009,1990,1,9
ictai,aaai,2009,1991,2,7
ictai,aaai,2009,1992,1,17
ictai,aaai,2009,1993,2,15
ictai,aaai,2009,1994,2,24
ictai,aaai,2009,1996,4,26
ictai,aaai,2009,1997,2,48
ictai,aaai,2009,1998,1,32
ictai,aaai,2009,2000,1,35
ictai,aaai,2009,2002,4,58
ictai,aaai,2009,2004,5,74
ictai,aaai,2009,2005,2,79
ictai,aaai,2009,2006,4,80
ictai,aaai,2009,2007,3,95
ictai,aaai,2009,2008,2,84
ictai,aaai,2010,1989,1,5
ictai,aaai,2010,1996,1,2
ictai,aaai,2010,2004,1,5
ictai,aaai,2011,2006,1,2
ictai,aaai,2012,2004,1,3
ictai,aaai,2014,1999,1,4
ictai,aaai,2014,2006,2,6
ictai,aaai,2014,2010,2,12
