from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ictai,coling,1992,1988,1,21
ictai,coling,1996,1984,1,2
ictai,coling,1996,1990,1,10
ictai,coling,1997,1992,1,13
ictai,coling,1998,1992,1,15
ictai,coling,1998,1996,1,16
ictai,coling,2002,1992,1,27
ictai,coling,2003,2000,1,53
ictai,coling,2003,2002,2,70
ictai,coling,2007,1992,1,21
ictai,coling,2007,2000,1,84
ictai,coling,2007,2002,2,96
ictai,coling,2008,1980,1,4
ictai,coling,2008,2003,1,115
ictai,coling,2008,2004,1,118
ictai,coling,2008,2006,3,121
ictai,coling,2009,2006,1,80
ictai,coling,2011,2009,1,3
