from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ictai,colt,2003,1992,1,16
ictai,colt,2004,1991,1,17
ictai,colt,2004,1992,1,20
ictai,colt,2004,1995,1,31
ictai,colt,2004,1998,1,59
ictai,colt,2004,2000,1,65
ictai,colt,2006,1992,1,6
ictai,colt,2007,1992,1,21
ictai,colt,2007,1998,1,56
ictai,colt,2007,2004,1,138
ictai,colt,2008,1994,1,33
ictai,colt,2008,1998,2,55
ictai,colt,2008,2000,1,73
ictai,colt,2008,2003,1,115
ictai,colt,2008,2004,1,118
ictai,colt,2008,2007,1,97
