from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ictai,cvpr,1994,1992,1,36
ictai,cvpr,1995,1994,1,28
ictai,cvpr,1997,1993,1,14
ictai,cvpr,2002,1997,1,48
ictai,cvpr,2003,1991,1,16
ictai,cvpr,2004,1994,2,37
ictai,cvpr,2004,2000,1,65
ictai,cvpr,2005,1996,1,36
ictai,cvpr,2005,1998,1,51
ictai,cvpr,2005,2000,1,56
ictai,cvpr,2005,2001,2,56
ictai,cvpr,2006,1992,1,6
ictai,cvpr,2006,1993,1,5
ictai,cvpr,2006,1997,2,17
ictai,cvpr,2006,1998,1,17
ictai,cvpr,2006,2005,1,22
ictai,cvpr,2007,1997,1,47
ictai,cvpr,2007,1998,1,56
ictai,cvpr,2007,2000,1,84
ictai,cvpr,2007,2004,3,138
ictai,cvpr,2007,2005,1,124
ictai,cvpr,2008,1992,1,14
ictai,cvpr,2008,1994,1,33
ictai,cvpr,2008,1997,1,37
ictai,cvpr,2008,2000,1,73
ictai,cvpr,2008,2005,1,118
ictai,cvpr,2008,2006,2,121
ictai,cvpr,2009,2000,1,35
ictai,cvpr,2009,2001,1,43
ictai,cvpr,2009,2003,1,70
ictai,cvpr,2009,2005,1,79
ictai,cvpr,2009,2006,3,80
ictai,cvpr,2009,2007,1,95
