from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ictai,icml,1992,1988,2,21
ictai,icml,1992,1989,2,17
ictai,icml,1992,1990,3,33
ictai,icml,1994,1989,1,28
ictai,icml,1994,1991,1,34
ictai,icml,1994,1992,2,36
ictai,icml,1994,1993,1,49
ictai,icml,1995,1992,1,22
ictai,icml,1995,1993,2,28
ictai,icml,1997,1991,1,8
ictai,icml,1997,1992,1,13
ictai,icml,1997,1993,1,14
ictai,icml,1997,1994,1,29
ictai,icml,1997,1995,1,24
ictai,icml,1997,1996,1,36
ictai,icml,1998,1994,3,18
ictai,icml,1998,1995,1,15
ictai,icml,1998,1997,1,21
ictai,icml,1999,1988,1,9
ictai,icml,1999,1993,1,18
ictai,icml,1999,1997,1,34
ictai,icml,1999,1998,1,45
ictai,icml,2000,1992,1,4
ictai,icml,2000,1993,1,7
ictai,icml,2000,1995,2,10
ictai,icml,2001,1995,1,5
ictai,icml,2001,1998,1,4
ictai,icml,2001,2000,1,10
ictai,icml,2002,1995,1,31
ictai,icml,2002,1997,1,48
ictai,icml,2002,1998,1,36
ictai,icml,2002,1999,1,48
ictai,icml,2003,1994,2,22
ictai,icml,2003,1996,2,35
ictai,icml,2003,1997,2,36
ictai,icml,2003,1998,2,40
ictai,icml,2004,1989,1,17
ictai,icml,2004,1992,1,20
ictai,icml,2004,1993,1,21
ictai,icml,2004,1994,3,37
ictai,icml,2004,1995,4,31
ictai,icml,2004,1996,1,49
ictai,icml,2004,1997,1,45
ictai,icml,2004,1998,3,59
ictai,icml,2004,2000,2,65
ictai,icml,2004,2001,2,64
ictai,icml,2004,2002,5,78
ictai,icml,2004,2003,4,72
ictai,icml,2005,1995,1,21
ictai,icml,2005,1996,1,36
ictai,icml,2005,1998,1,51
ictai,icml,2005,1999,1,47
ictai,icml,2005,2000,3,56
ictai,icml,2005,2001,1,56
ictai,icml,2005,2003,1,63
ictai,icml,2006,1995,1,9
ictai,icml,2006,1996,1,9
ictai,icml,2006,1998,2,17
ictai,icml,2006,2000,2,21
ictai,icml,2006,2002,2,27
ictai,icml,2006,2003,3,28
ictai,icml,2006,2004,1,33
ictai,icml,2007,1996,1,28
ictai,icml,2007,1997,2,47
ictai,icml,2007,1998,1,56
ictai,icml,2007,1999,4,68
ictai,icml,2007,2000,3,84
ictai,icml,2007,2002,2,96
ictai,icml,2007,2003,1,95
ictai,icml,2007,2004,1,138
ictai,icml,2007,2005,2,124
ictai,icml,2007,2006,1,113
ictai,icml,2008,1994,1,33
ictai,icml,2008,1995,2,24
ictai,icml,2008,1996,2,30
ictai,icml,2008,1997,3,37
ictai,icml,2008,1998,2,55
ictai,icml,2008,1999,2,50
ictai,icml,2008,2000,3,73
ictai,icml,2008,2002,1,102
ictai,icml,2008,2003,1,115
ictai,icml,2008,2004,3,118
ictai,icml,2008,2005,2,118
ictai,icml,2008,2006,1,121
ictai,icml,2008,2007,1,97
ictai,icml,2009,1992,1,17
ictai,icml,2009,1994,1,24
ictai,icml,2009,1995,1,22
ictai,icml,2009,1997,1,48
ictai,icml,2009,1998,1,32
ictai,icml,2009,2000,2,35
ictai,icml,2009,2001,2,43
ictai,icml,2009,2003,4,70
ictai,icml,2009,2004,3,74
ictai,icml,2009,2005,1,79
ictai,icml,2009,2006,1,80
ictai,icml,2009,2007,1,95
ictai,icml,2009,2008,3,84
ictai,icml,2010,2008,1,10
ictai,icml,2011,1998,1,1
ictai,icml,2011,1999,1,3
ictai,icml,2011,2003,1,3
ictai,icml,2014,2000,1,5
ictai,icml,2014,2004,1,7
ictai,icml,2014,2007,1,11
ictai,icml,2014,2008,1,12
ictai,icml,2014,2009,1,12
ictai,icml,2014,2012,1,11
